#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2696 1.6115E-02 1.6115E-02   0.00   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=145 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.720         1.1060         1.1060
  2 -2.620         1.4069         1.1058
  3 -2.520         1.5829         1.1056
  4 -2.420         1.7078         1.1055
  5 -2.320         1.8046         1.1055
  6 -2.220         1.8838         1.1057
  7 -2.120         1.9508         1.1060
  8 -2.020         2.0089         1.1065
  9 -1.920         2.0602         1.1071
 10 -1.820         2.1774         1.5514
 11 -1.720         2.2766         1.5866
 12 -1.620         2.3586         1.5942
 13 -1.520         2.4288         1.6024
 14 -1.420         2.4901         1.6096
 15 -1.320         2.5436         1.6080
 16 -1.220         2.5916         1.6111
 17 -1.120         2.6345         1.6075
 18 -1.020         2.6728         1.6000
 19 -0.920         2.7074         1.5910
 20 -0.820         2.7387         1.5811
 21 -0.720         2.7673         1.5723
 22 -0.620         2.7918         1.5296
 23 -0.520         2.8153         1.5381
 24 -0.420         2.8567         1.8156
 25 -0.320         2.8973         1.8471
 26 -0.220         2.9398         1.9102
 27 -0.120         2.9794         1.9191
 28 -0.020         3.0171         1.9374
 29  0.080         3.0512         1.9287
 30  0.180         3.0848         1.9566
 31  0.280         3.1179         1.9839
 32  0.380         3.1502         2.0055
 33  0.480         3.1821         2.0328
 34  0.580         3.2148         2.0752
 35  0.680         3.2505         2.1468
 36  0.780         3.2908         2.2381
 37  0.880         3.3351         2.3221
 38  0.980         3.3715         2.2767
 39  1.080         3.4057         2.2847
 40  1.180         3.4427         2.3547
 41  1.280         3.4708         2.2685
 42  1.380         3.4881         2.0806
 43  1.480         3.5054         2.0958
 44  1.580         3.5224         2.1065
 45  1.680         3.5394         2.1248
 46  1.780         3.5565         2.1428
 47  1.880         3.5736         2.1599
 48  1.980         3.5907         2.1762
 49  2.080         3.6077         2.1917
 50  2.180         3.6246         2.2065
 51  2.280         3.6414         2.2205
 52  2.380         3.6580         2.2338
 53  2.480         3.6745         2.2463
 54  2.580         3.6909         2.2582
 55  2.680         3.7070         2.2693
 56  2.780         3.7230         2.2797
 57  2.880         3.7387         2.2894
 58  2.980         3.7542         2.2983
 59  3.080         3.7694         2.3065
 60  3.180         3.7843         2.3139
 61  3.280         3.7990         2.3205
 62  3.380         3.8134         2.3263
 63  3.480         3.8275         2.3313
 64  3.580         3.8412         2.3334
 65  3.680         3.8543         2.3289
 66  3.780         3.8693         2.3983
 67  3.880         3.8891         2.5387
 68  3.980         3.9080         2.5368
 69  4.080         3.9265         2.5460
 70  4.180         3.9443         2.5493
 71  4.280         3.9604         2.5200
 72  4.380         3.9740         2.4648
 73  4.480         3.9876         2.4772
 74  4.580         4.0012         2.4890
 75  4.680         4.0098         2.3000
 76  4.780         4.0184         2.3108
 77  4.880         4.0270         2.3217
 78  4.980         4.0357         2.3328
 79  5.080         4.0444         2.3440
 80  5.180         4.0532         2.3553
 81  5.280         4.0621         2.3669
 82  5.380         4.0710         2.3785
 83  5.480         4.0800         2.3903
 84  5.580         4.0890         2.4023
 85  5.680         4.0981         2.4161
 86  5.780         4.1074         2.4325
 87  5.880         4.1168         2.4476
 88  5.980         4.1263         2.4614
 89  6.080         4.1359         2.4738
 90  6.180         4.1455         2.4850
 91  6.280         4.1551         2.4948
 92  6.380         4.1646         2.5034
 93  6.480         4.1723         2.4168
 94  6.580         4.1793         2.3834
 95  6.680         4.1866         2.4074
 96  6.780         4.1942         2.4328
 97  6.880         4.2021         2.4594
 98  6.980         4.2104         2.4870
 99  7.080         4.2191         2.5152
100  7.180         4.2275         2.5092
101  7.280         4.2359         2.5208
102  7.380         4.2440         2.5093
103  7.480         4.2515         2.4830
104  7.580         4.2587         2.4746
105  7.680         4.2660         2.4880
106  7.780         4.2737         2.5206
107  7.880         4.2842         2.6609
108  7.980         4.2948         2.6772
109  8.080         4.3050         2.6699
110  8.180         4.3144         2.6473
111  8.280         4.3227         2.6007
112  8.380         4.3286         2.4538
113  8.480         4.3238         2.4538
114  8.580         4.3332         2.6657
115  8.680         4.3667         3.2368
116  8.780         4.4078         3.3635
117  8.880         4.4452         3.3624
118  8.980         4.4774         3.3309
119  9.080         4.5052         3.2981
120  9.180         4.5300         3.2747
121  9.280         4.5526         3.2563
122  9.380         4.5734         3.2432
123  9.480         4.5929         3.2357
124  9.580         4.6115         3.2337
125  9.680         4.6294         3.2370
126  9.780         4.6470         3.2451
127  9.880         4.6643         3.2574
128  9.980         4.6816         3.2733
129 10.080         4.6990         3.2920
130 10.180         4.7165         3.3137
131 10.280         4.7347         3.3477
132 10.380         4.7539         3.3888
133 10.480         4.7727         3.4006
134 10.580         4.7908         3.4012
135 10.680         4.8072         3.3758
136 10.780         4.8262         3.4591
137 10.880         4.8454         3.4816
138 10.980         4.8648         3.5034
139 11.080         4.8842         3.5245
140 11.180         4.9036         3.5447
141 11.280         4.9230         3.5642
142 11.380         4.9424         3.5827
143 11.480         4.9618         3.6003
144 11.580         4.9810         3.6169
145 11.680         5.0000         3.6325


#AGE= 0.100 BINS=138 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.911         1.1385         1.1385
  2 -1.811         1.4397         1.1388
  3 -1.711         1.6160         1.1393
  4 -1.611         1.7447         1.1538
  5 -1.511         1.8466         1.1673
  6 -1.411         1.9917         1.4448
  7 -1.311         2.1436         1.6136
  8 -1.211         2.2584         1.6244
  9 -1.111         2.3500         1.6292
 10 -1.011         2.4259         1.6310
 11 -0.911         2.4904         1.6300
 12 -0.811         2.5461         1.6272
 13 -0.711         2.5949         1.6211
 14 -0.611         2.6383         1.6163
 15 -0.511         2.6775         1.6141
 16 -0.411         2.7119         1.5928
 17 -0.311         2.7709         1.8750
 18 -0.211         2.8238         1.8834
 19 -0.111         2.8751         1.9225
 20 -0.011         2.9220         1.9322
 21  0.089         2.9633         1.9200
 22  0.189         3.0006         1.9165
 23  0.289         3.0365         1.9364
 24  0.389         3.0716         1.9613
 25  0.489         3.1056         1.9817
 26  0.589         3.1392         2.0119
 27  0.689         3.1738         2.0572
 28  0.789         3.2117         2.1336
 29  0.889         3.2540         2.2225
 30  0.989         3.2998         2.3002
 31  1.089         3.3395         2.2799
 32  1.189         3.3773         2.2993
 33  1.289         3.4173         2.3609
 34  1.389         3.4467         2.2631
 35  1.489         3.4648         2.0760
 36  1.589         3.4826         2.0859
 37  1.689         3.5002         2.0997
 38  1.789         3.5177         2.1142
 39  1.889         3.5352         2.1311
 40  1.989         3.5526         2.1476
 41  2.089         3.5700         2.1635
 42  2.189         3.5873         2.1788
 43  2.289         3.6045         2.1934
 44  2.389         3.6216         2.2075
 45  2.489         3.6385         2.2209
 46  2.589         3.6553         2.2338
 47  2.689         3.6719         2.2461
 48  2.789         3.6883         2.2577
 49  2.889         3.7045         2.2688
 50  2.989         3.7205         2.2793
 51  3.089         3.7363         2.2891
 52  3.189         3.7519         2.2983
 53  3.289         3.7672         2.3068
 54  3.389         3.7822         2.3147
 55  3.489         3.7970         2.3219
 56  3.589         3.8116         2.3283
 57  3.689         3.8256         2.3274
 58  3.789         3.8393         2.3325
 59  3.889         3.8549         2.4015
 60  3.989         3.8766         2.5642
 61  4.089         3.8955         2.5249
 62  4.189         3.9142         2.5404
 63  4.289         3.9315         2.5237
 64  4.389         3.9473         2.4993
 65  4.489         3.9599         2.4153
 66  4.589         3.9742         2.4867
 67  4.689         3.9860         2.4139
 68  4.789         3.9947         2.2928
 69  4.889         4.0035         2.3034
 70  4.989         4.0123         2.3143
 71  5.089         4.0211         2.3252
 72  5.189         4.0300         2.3363
 73  5.289         4.0389         2.3476
 74  5.389         4.0479         2.3590
 75  5.489         4.0570         2.3706
 76  5.589         4.0661         2.3824
 77  5.689         4.0752         2.3943
 78  5.789         4.0844         2.4064
 79  5.889         4.0938         2.4217
