#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.2537 5.3740E-03 5.3740E-03  -0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=149 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -3.085         1.5416         1.5416
  2 -2.985         1.8363         1.5288
  3 -2.885         2.0238         1.5686
  4 -2.785         2.1602         1.5907
  5 -2.685         2.2512         1.5277
  6 -2.585         2.3174         1.4682
  7 -2.485         2.3678         1.4077
  8 -2.385         2.4073         1.3462
  9 -2.285         2.4388         1.2839
 10 -2.185         2.4644         1.2213
 11 -2.085         2.4854         1.1594
 12 -1.985         2.5029         1.0995
 13 -1.885         2.5177         1.0437
 14 -1.785         2.5305         0.9947
 15 -1.685         2.5421         0.9617
 16 -1.585         2.5533         0.9602
 17 -1.485         2.5765         1.2925
 18 -1.385         2.5985         1.2913
 19 -1.285         2.6192         1.2878
 20 -1.185         2.6392         1.2917
 21 -1.085         2.6588         1.3038
 22 -0.985         2.6788         1.3314
 23 -0.885         2.6964         1.2969
 24 -0.785         2.7096         1.1853
 25 -0.685         2.7190         1.0496
 26 -0.585         2.7247         0.8386
 27 -0.485         2.7276         0.5471
 28 -0.385         2.7284         0.0187
 29 -0.285         2.7598         1.6034
 30 -0.185         2.7838         1.5135
 31 -0.085         2.8020         1.4160
 32  0.015         2.8203         1.4346
 33  0.115         2.8414         1.5175
 34  0.215         2.8671         1.6273
 35  0.315         2.8927         1.6502
 36  0.415         2.9197         1.7002
 37  0.515         2.9518         1.8044
 38  0.615         2.9864         1.8699
 39  0.715         3.0202         1.8947
 40  0.815         3.0541         1.9295
 41  0.915         3.0900         1.9893
 42  1.015         3.1308         2.0842
 43  1.115         3.1765         2.1756
 44  1.215         3.2368         2.3495
 45  1.315         3.2698         2.1348
 46  1.415         3.2885         1.9125
 47  1.515         3.3072         1.9322
 48  1.615         3.3260         1.9522
 49  1.715         3.3448         1.9722
 50  1.815         3.3637         1.9932
 51  1.915         3.3827         2.0146
 52  2.015         3.4019         2.0376
 53  2.115         3.4213         2.0615
 54  2.215         3.4409         2.0863
 55  2.315         3.4608         2.1114
 56  2.415         3.4808         2.1338
 57  2.515         3.5009         2.1564
 58  2.615         3.5214         2.1846
 59  2.715         3.5418         2.2044
 60  2.815         3.5624         2.2277
 61  2.915         3.5833         2.2549
 62  3.015         3.6045         2.2819
 63  3.115         3.6256         2.3032
 64  3.215         3.6469         2.3273
 65  3.315         3.6685         2.3531
 66  3.415         3.6903         2.3806
 67  3.515         3.7125         2.4108
 68  3.615         3.9692         3.6187
 69  3.715         3.9776         2.2614
 70  3.815         3.9854         2.2324
 71  3.915         3.9921         2.1818
 72  4.015         3.9980         2.1237
 73  4.115         3.8498         2.1237
 74  4.215         3.8605         2.2444
 75  4.315         3.8711         2.2539
 76  4.415         3.8817         2.2635
 77  4.515         3.8922         2.2732
 78  4.615         3.9028         2.2829
 79  4.715         3.9133         2.2927
 80  4.815         3.9238         2.3026
 81  4.915         3.9343         2.3126
 82  5.015         3.9448         2.3226
 83  5.115         3.9553         2.3327
 84  5.215         3.9658         2.3429
 85  5.315         3.9763         2.3539
 86  5.415         3.9868         2.3645
 87  5.515         3.9972         2.3742
 88  5.615         4.0077         2.3831
 89  5.715         4.0180         2.3912
 90  5.815         4.0284         2.4025
 91  5.915         4.0387         2.4080
 92  6.015         4.0485         2.3962
 93  6.115         4.0578         2.3829
 94  6.215         4.0668         2.3794
 95  6.315         4.0758         2.3865
 96  6.415         4.0849         2.4028
 97  6.515         4.0940         2.4112
 98  6.615         4.1031         2.4183
 99  6.715         4.1122         2.4305
100  6.815         4.1215         2.4479
101  6.915         4.1311         2.4707
102  7.015         4.1396         2.4285
103  7.115         4.1449         2.2236
104  7.215         4.1504         2.2515
105  7.315         4.1565         2.3017
106  7.415         4.1634         2.3619
107  7.515         4.1710         2.4095
108  7.615         4.1793         2.4536
109  7.715         4.1936         2.7039
110  7.815         4.2177         2.9500
111  7.915         4.2406         2.9520
112  8.015         4.2635         2.9749
113  8.115         4.2886         3.0374
114  8.215         4.3141         3.0697
115  8.315         4.3359         3.0264
116  8.415         4.3619         3.1260
