#NUMBER OF AGES=15
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]       
# 1.9380  0.3210 4.6890E-02 4.6890E-02   0.50   0.00        
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: SDSS (AB)                          
#----------------------------------------------------       
#AGE= 0.010 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -2.142         1.1912         1.1912
  2 -2.042         1.3618         0.8734
  3 -1.942         1.3722        -0.2505
  4 -1.842         1.3833        -0.2179
  5 -1.742         1.3955        -0.1614
  6 -1.642         1.4057        -0.2263
  7 -1.542         1.4216        -0.0231
  8 -1.442         1.4396         0.0472
  9 -1.342         1.4547        -0.0108
 10 -1.242         1.4684        -0.0385
 11 -1.142         1.5108         0.4788
 12 -1.042         1.5338         0.2464
 13 -0.942         1.5462        -0.0028
 14 -0.842         1.5501        -0.5069
 15 -0.742         1.5591        -0.1279
 16 -0.642         1.5554        -0.1279
 17 -0.542         1.5488        -0.1279
 18 -0.442         1.7127         1.2102
 19 -0.342         2.0572         1.7956
 20 -0.242         2.3525         2.0457
 21 -0.142         2.5541         2.1239
 22 -0.042         2.6918         2.1260
 23  0.058         2.7854         2.0727
 24  0.158         2.8593         2.0541
 25  0.258         2.9240         2.0652
 26  0.358         2.9837         2.0926
 27  0.458         3.0404         2.1279
 28  0.558         3.0934         2.1539
 29  0.658         3.1414         2.1608
 30  0.758         3.1853         2.1683
 31  0.858         3.2294         2.2141
 32  0.958         3.2749         2.2725
 33  1.058         3.3150         2.2606
 34  1.158         3.3530         2.2760
 35  1.258         3.3889         2.2882
 36  1.358         3.4239         2.3137
 37  1.458         3.4626         2.3933
 38  1.558         3.4950         2.3517
 39  1.658         3.5264         2.3688
 40  1.758         3.5571         2.3914
 41  1.858         3.5873         2.4146
 42  1.958         3.6175         2.4451
 43  2.058         3.6473         2.4694
 44  2.158         3.6757         2.4764
 45  2.258         3.7028         2.4849
 46  2.358         3.7292         2.4989
 47  2.458         3.7517         2.4565
 48  2.558         3.7700         2.3835
 49  2.658         3.7880         2.3963
 50  2.758         3.8057         2.4085
 51  2.858         3.8232         2.4204
 52  2.958         3.8433         2.4969
 53  3.058         3.8612         2.4688
 54  3.158         3.8762         2.4072
 55  3.258         3.8902         2.3914
 56  3.358         3.9033         2.3750
 57  3.458         3.9156         2.3612
 58  3.558         3.9272         2.3506
 59  3.658         3.9384         2.3437
 60  3.758         3.9493         2.3411
 61  3.858         3.9599         2.3435
 62  3.958         3.9703         2.3459
 63  4.058         3.9803         2.3361
 64  4.158         3.9902         2.3428
 65  4.258         4.0006         2.3736
 66  4.358         4.0121         2.4310
 67  4.458         4.0239         2.4525
 68  4.558         4.0343         2.4055
 69  4.658         4.0441         2.3950
 70  4.758         4.0542         2.4152
 71  4.858         4.0651         2.4611
 72  4.958         4.0773         2.5189
 73  5.058         4.0892         2.5189
 74  5.158         4.1016         2.5528
 75  5.258         4.1093         2.3533
 76  5.358         4.1153         2.2517
 77  5.458         4.1213         2.2601
 78  5.558         4.1274         2.2686
 79  5.658         4.1334         2.2773
 80  5.758         4.1396         2.2861
 81  5.858         4.1457         2.2952
 82  5.958         4.1520         2.3044
 83  6.058         4.1582         2.3138
 84  6.158         4.1645         2.3234
 85  6.258         4.1709         2.3332
 86  6.358         4.1773         2.3432
 87  6.458         4.1838         2.3533
 88  6.558         4.1903         2.3637
 89  6.658         4.1969         2.3742
 90  6.758         4.2035         2.3849
 91  6.858         4.2102         2.3958
 92  6.958         4.2170         2.4070
 93  7.058         4.2238         2.4183
 94  7.158         4.2308         2.4298
 95  7.258         4.2378         2.4415
 96  7.358         4.2448         2.4534
 97  7.458         4.2520         2.4655
 98  7.558         4.2592         2.4778
 99  7.658         4.2666         2.4903
100  7.758         4.2740         2.5030
101  7.858         4.2815         2.5160
102  7.958         4.2994         2.9043
103  8.058         4.3094         2.6690
104  8.158         4.3154         2.4529
105  8.258         4.3212         2.4416
106  8.358         4.3280         2.5170
107  8.458         4.3363         2.6152
108  8.558         4.3453         2.6566
109  8.658         4.3532         2.6129
110  8.758         4.3656         2.8129
111  8.858         4.3970         3.2404
112  8.958         4.4252         3.2237
113  9.058         4.4471         3.1386
114  9.158         4.4803         3.3482
115  9.258         4.5123         3.3631
116  9.358         4.5427         3.3724
117  9.458         4.5713         3.3757
118  9.558         4.5979         3.3720
119  9.658         4.6222         3.3578
120  9.758         4.6443         3.3399
121  9.858         4.6645         3.3219
122  9.958         4.6829         3.3018
123 10.058         4.7000         3.2854
124 10.158         4.7162         3.2817
125 10.258         4.7324         3.2961
126 10.358         4.7494         3.3337
127 10.458         4.7686         3.4025
128 10.558         4.7979         3.6137
129 10.658         4.8180         3.4714
130 10.758         4.8363         3.4528
131 10.858         4.8546         3.4705
132 10.958         4.8729         3.4881
133 11.058         4.8911         3.5056
134 11.158         4.9094         3.5231
135 11.258         4.9276         3.5406
136 11.358         4.9457         3.5580
137 11.458         4.9638         3.5753
138 11.558         4.9819         3.5927
139 11.658         5.0000         3.6099


#AGE= 0.100 BINS=139 Power-law IMF: x=-2.350
# N  sdss_r       Log10(N)       Log10(dN)
  1 -1.996         1.1965         1.1965
  2 -1.896         1.2951         0.6029
  3 -1.796         1.3072        -0.2541
  4 -1.696         1.3206        -0.1995
  5 -1.596         1.3342        -0.1767
  6 -1.496         1.3458        -0.2320
  7 -1.396         1.3568        -0.2463
  8 -1.296         1.3827         0.1451
  9 -1.196         1.4045         0.0952
 10 -1.096         1.4218         0.0143
 11 -0.996         1.4636         0.4264
 12 -0.896         1.4942         0.3264
 13 -0.796         1.5090         0.0335
 14 -0.696         1.5140        -0.4252
 15 -0.596         1.5236        -0.1370
 16 -0.496         1.5192        -0.1370
 17 -0.396         1.5112        -0.1370
 18 -0.296         1.7411         1.3549
 19 -0.196         1.9897         1.6291
 20 -0.096         2.2392         1.8796
 21  0.004         2.4249         1.9664
 22  0.104         2.5502         1.9492
 23  0.204         2.6372         1.8959
 24  0.304         2.7209         1.9649
 25  0.404         2.8126         2.0921
 26  0.504         2.8916         2.1126
 27  0.604         2.9629         2.1432
 28  0.704         3.0261         2.1578
 29  0.804         3.0815         2.1595
 30  0.904         3.1317         2.1700
 31  1.004         3.1800         2.2026
 32  1.104         3.2229         2.1962
 33  1.204         3.2677         2.2584
 34  1.304         3.3094         2.2715
 35  1.404         3.3479         2.2769
 36  1.504         3.3855         2.3037
 37  1.604         3.4249         2.3627
 38  1.704         3.4590         2.3370
 39  1.804         3.4916         2.3511
 40  1.904         3.5236         2.3746
 41  2.004         3.5553         2.4030
 42  2.104         3.5870         2.4347
 43  2.204         3.6177         2.4527
 44  2.304         3.6471         2.4622
 45  2.404         3.6755         2.4776
 46  2.504         3.7030         2.4907
 47  2.604         3.7222         2.3582
 48  2.704         3.7412         2.3727
 49  2.804         3.7600         2.3867
 50  2.904         3.7786         2.3999
 51  3.004         3.7969         2.4125
 52  3.104         3.8179         2.4918
 53  3.204         3.8361         2.4494
 54  3.304         3.8525         2.4222
 55  3.404         3.8682         2.4198
 56  3.504         3.8830         2.4056
 57  3.604         3.8967         2.3888
 58  3.704         3.9095         2.3752
 59  3.804         3.9218         2.3656
 60  3.904         3.9335         2.3606
 61  4.004         3.9450         2.3604
 62  4.104         3.9559         2.3501
 63  4.204         3.9664         2.3464
