# SDSS/LSST colors as functions of Mr and FeH for BHB stars 
# taken from table 2 from Sirko et al. 2004 (AJ 127, 899)  
# All input data are spline interpolated on a regular 
# equidistant Mr grid
#  Mr   FeH      ug      gr      ri      iz      zy
#                       ---- AB colors ----
 0.60  -2.00  0.9970  0.1456  0.0055 -0.0972 -0.0486 
 0.61  -2.00  1.0185  0.1155 -0.0100 -0.1051 -0.0526 
 0.62  -2.00  1.0399  0.0855 -0.0256 -0.1130 -0.0565 
 0.63  -2.00  1.0613  0.0555 -0.0411 -0.1209 -0.0605 
 0.64  -2.00  1.0822  0.0260 -0.0564 -0.1287 -0.0644 
 0.65  -2.00  1.1023 -0.0029 -0.0713 -0.1364 -0.0682 
 0.66  -2.00  1.1211 -0.0308 -0.0858 -0.1438 -0.0719 
 0.67  -2.00  1.1384 -0.0574 -0.0997 -0.1508 -0.0754 
 0.68  -2.00  1.1537 -0.0824 -0.1128 -0.1575 -0.0788 
 0.69  -2.00  1.1667 -0.1055 -0.1250 -0.1637 -0.0819 
 0.70  -2.00  1.1771 -0.1264 -0.1361 -0.1694 -0.0847 
 0.71  -2.00  1.1844 -0.1449 -0.1460 -0.1745 -0.0872 
 0.72  -2.00  1.1888 -0.1610 -0.1548 -0.1789 -0.0895 
 0.73  -2.00  1.1905 -0.1748 -0.1624 -0.1828 -0.0914 
 0.74  -2.00  1.1897 -0.1865 -0.1691 -0.1862 -0.0931 
 0.75  -2.00  1.1867 -0.1963 -0.1748 -0.1892 -0.0946 
 0.76  -2.00  1.1816 -0.2044 -0.1797 -0.1916 -0.0958 
 0.77  -2.00  1.1747 -0.2110 -0.1838 -0.1937 -0.0969 
 0.78  -2.00  1.1663 -0.2162 -0.1872 -0.1955 -0.0977 
 0.79  -2.00  1.1565 -0.2202 -0.1900 -0.1969 -0.0985 
 0.80  -2.00  1.1457 -0.2232 -0.1923 -0.1981 -0.0990 
 0.81  -2.00  1.1340 -0.2254 -0.1942 -0.1990 -0.0995 
 0.82  -2.00  1.1217 -0.2269 -0.1957 -0.1998 -0.0999 
 0.83  -2.00  1.1090 -0.2279 -0.1970 -0.2005 -0.1002 
 0.84  -2.00  1.0961 -0.2287 -0.1981 -0.2010 -0.1005 
 0.85  -2.00  1.0833 -0.2293 -0.1990 -0.2015 -0.1008 
 0.86  -2.00  1.0708 -0.2299 -0.2000 -0.2020 -0.1010 
 0.87  -2.00  1.0589 -0.2308 -0.2010 -0.2025 -0.1013 
 0.88  -2.00  1.0474 -0.2319 -0.2021 -0.2031 -0.1015 
 0.89  -2.00  1.0365 -0.2332 -0.2032 -0.2037 -0.1018 
 0.90  -2.00  1.0261 -0.2347 -0.2044 -0.2043 -0.1021 
 0.91  -2.00  1.0161 -0.2364 -0.2057 -0.2049 -0.1025 
 0.92  -2.00  1.0066 -0.2382 -0.2070 -0.2056 -0.1028 
 0.93  -2.00  0.9974 -0.2402 -0.2083 -0.2063 -0.1031 
 0.94  -2.00  0.9886 -0.2423 -0.2097 -0.2070 -0.1035 
 0.95  -2.00  0.9801 -0.2446 -0.2111 -0.2077 -0.1038 
 0.96  -2.00  0.9720 -0.2469 -0.2125 -0.2084 -0.1042 
 0.97  -2.00  0.9641 -0.2493 -0.2140 -0.2091 -0.1046 
