## SDSS/LSST colors as functions of Mr and FeH ########
## see MSandRGBcolors_v1.3.header
#   Mr      FeH      ug       gr       ri      iz     zy
  -1.00   -2.50   1.3805   0.5780   0.2650   0.1681   0.0803 
  -0.99   -2.50   1.3793   0.5776   0.2648   0.1679   0.0802 
  -0.98   -2.50   1.3782   0.5772   0.2645   0.1676   0.0801 
  -0.97   -2.50   1.3770   0.5768   0.2643   0.1674   0.0800 
  -0.96   -2.50   1.3758   0.5764   0.2640   0.1672   0.0799 
  -0.95   -2.50   1.3747   0.5759   0.2638   0.1670   0.0798 
  -0.94   -2.50   1.3735   0.5755   0.2635   0.1668   0.0797 
  -0.93   -2.50   1.3724   0.5751   0.2632   0.1665   0.0796 
  -0.92   -2.50   1.3712   0.5747   0.2630   0.1663   0.0795 
  -0.91   -2.50   1.3700   0.5743   0.2628   0.1661   0.0794 
  -0.90   -2.50   1.3689   0.5739   0.2625   0.1659   0.0793 
  -0.89   -2.50   1.3677   0.5735   0.2623   0.1657   0.0792 
  -0.88   -2.50   1.3666   0.5731   0.2620   0.1654   0.0791 
  -0.87   -2.50   1.3654   0.5726   0.2618   0.1652   0.0790 
  -0.86   -2.50   1.3642   0.5722   0.2615   0.1650   0.0789 
  -0.85   -2.50   1.3631   0.5718   0.2612   0.1648   0.0788 
  -0.84   -2.50   1.3619   0.5714   0.2610   0.1646   0.0787 
  -0.83   -2.50   1.3607   0.5710   0.2607   0.1643   0.0786 
  -0.82   -2.50   1.3596   0.5706   0.2605   0.1641   0.0784 
  -0.81   -2.50   1.3584   0.5702   0.2602   0.1639   0.0783 
  -0.80   -2.50   1.3572   0.5697   0.2600   0.1637   0.0782 
  -0.79   -2.50   1.3561   0.5693   0.2598   0.1634   0.0781 
  -0.78   -2.50   1.3549   0.5689   0.2595   0.1632   0.0780 
  -0.77   -2.50   1.3538   0.5685   0.2592   0.1630   0.0779 
  -0.76   -2.50   1.3526   0.5681   0.2590   0.1628   0.0778 
  -0.75   -2.50   1.3514   0.5677   0.2588   0.1626   0.0777 
  -0.74   -2.50   1.3503   0.5673   0.2585   0.1623   0.0776 
  -0.73   -2.50   1.3491   0.5669   0.2582   0.1621   0.0775 
  -0.72   -2.50   1.3479   0.5665   0.2580   0.1619   0.0774 
  -0.71   -2.50   1.3468   0.5660   0.2578   0.1617   0.0773 
  -0.70   -2.50   1.3456   0.5656   0.2575   0.1615   0.0772 
  -0.69   -2.50   1.3445   0.5652   0.2573   0.1612   0.0771 
  -0.68   -2.50   1.3433   0.5648   0.2570   0.1610   0.0770 
  -0.67   -2.50   1.3421   0.5644   0.2568   0.1608   0.0769 
  -0.66   -2.50   1.3410   0.5640   0.2565   0.1606   0.0768 
  -0.65   -2.50   1.3398   0.5636   0.2562   0.1604   0.0767 
  -0.64   -2.50   1.3386   0.5632   0.2560   0.1601   0.0766 
  -0.63   -2.50   1.3375   0.5627   0.2558   0.1599   0.0765 
  -0.62   -2.50   1.3363   0.5623   0.2555   0.1597   0.0764 
  -0.61   -2.50   1.3352   0.5619   0.2552   0.1595   0.0763 
  -0.60   -2.50   1.3340   0.5615   0.2550   0.1593   0.0762 
  -0.59   -2.50   1.3328   0.5611   0.2548   0.1590   0.0761 
  -0.58   -2.50   1.3317   0.5607   0.2545   0.1588   0.0760 
  -0.57   -2.50   1.3305   0.5603   0.2543   0.1586   0.0758 
  -0.56   -2.50   1.3293   0.5599   0.2540   0.1584   0.0757 
  -0.55   -2.50   1.3282   0.5594   0.2538   0.1581   0.0756 
  -0.54   -2.50   1.3270   0.5590   0.2535   0.1579   0.0755 
  -0.53   -2.50   1.3259   0.5586   0.2533   0.1577   0.0754 
  -0.52   -2.50   1.3247   0.5582   0.2530   0.1575   0.0753 
  -0.51   -2.50   1.3235   0.5578   0.2528   0.1573   0.0752 
  -0.50   -2.50   1.3224   0.5574   0.2525   0.1570   0.0751 
  -0.49   -2.50   1.3212   0.5570   0.2523   0.1568   0.0750 
  -0.48   -2.50   1.3200   0.5566   0.2520   0.1566   0.0749 
  -0.47   -2.50   1.3189   0.5561   0.2518   0.1564   0.0748 
  -0.46   -2.50   1.3177   0.5557   0.2515   0.1562   0.0747 
  -0.45   -2.50   1.3166   0.5553   0.2513   0.1559   0.0746 
  -0.44   -2.50   1.3154   0.5549   0.2510   0.1557   0.0745 
  -0.43   -2.50   1.3142   0.5545   0.2508   0.1555   0.0744 
  -0.42   -2.50   1.3131   0.5541   0.2505   0.1553   0.0743 
  -0.41   -2.50   1.3119   0.5537   0.2503   0.1551   0.0742 
  -0.40   -2.50   1.3107   0.5533   0.2500   0.1548   0.0741 
  -0.39   -2.50   1.3096   0.5528   0.2498   0.1546   0.0740 
  -0.38   -2.50   1.3084   0.5524   0.2495   0.1544   0.0739 
  -0.37   -2.50   1.3073   0.5520   0.2493   0.1542   0.0738 
  -0.36   -2.50   1.3061   0.5516   0.2490   0.1540   0.0737 
  -0.35   -2.50   1.3049   0.5512   0.2488   0.1537   0.0736 
  -0.34   -2.50   1.3038   0.5508   0.2485   0.1535   0.0735 
  -0.33   -2.50   1.3026   0.5504   0.2483   0.1533   0.0734 
  -0.32   -2.50   1.3014   0.5499   0.2480   0.1531   0.0732 
  -0.31   -2.50   1.3003   0.5495   0.2478   0.1528   0.0731 
  -0.30   -2.50   1.2991   0.5491   0.2475   0.1526   0.0730 
  -0.29   -2.50   1.2980   0.5487   0.2473   0.1524   0.0729 
  -0.28   -2.50   1.2968   0.5483   0.2470   0.1522   0.0728 
  -0.27   -2.50   1.2956   0.5479   0.2468   0.1520   0.0727 
  -0.26   -2.50   1.2945   0.5475   0.2465   0.1517   0.0726 
  -0.25   -2.50   1.2933   0.5471   0.2463   0.1515   0.0725 
  -0.24   -2.50   1.2921   0.5467   0.2460   0.1513   0.0724 
  -0.23   -2.50   1.2910   0.5462   0.2458   0.1511   0.0723 
  -0.22   -2.50   1.2898   0.5458   0.2455   0.1509   0.0722 
  -0.21   -2.50   1.2887   0.5454   0.2453   0.1506   0.0721 
  -0.20   -2.50   1.2875   0.5450   0.2450   0.1504   0.0720 
  -0.19   -2.50   1.2863   0.5446   0.2448   0.1502   0.0719 
  -0.18   -2.50   1.2852   0.5442   0.2445   0.1500   0.0718 
  -0.17   -2.50   1.2840   0.5438   0.2443   0.1498   0.0717 
  -0.16   -2.50   1.2828   0.5433   0.2440   0.1495   0.0716 
  -0.15   -2.50   1.2817   0.5429   0.2438   0.1493   0.0715 
  -0.14   -2.50   1.2805   0.5425   0.2435   0.1491   0.0714 
  -0.13   -2.50   1.2794   0.5421   0.2433   0.1489   0.0713 
  -0.12   -2.50   1.2782   0.5417   0.2430   0.1487   0.0712 
  -0.11   -2.50   1.2770   0.5413   0.2428   0.1484   0.0711 
  -0.10   -2.50   1.2759   0.5409   0.2425   0.1482   0.0710 
  -0.09   -2.50   1.2747   0.5405   0.2423   0.1480   0.0709 
  -0.08   -2.50   1.2735   0.5401   0.2420   0.1478   0.0708 
  -0.07   -2.50   1.2724   0.5396   0.2418   0.1475   0.0706 
  -0.06   -2.50   1.2712   0.5392   0.2415   0.1473   0.0705 
  -0.05   -2.50   1.2701   0.5388   0.2413   0.1471   0.0704 
  -0.04   -2.50   1.2689   0.5384   0.2410   0.1469   0.0703 
  -0.03   -2.50   1.2677   0.5380   0.2408   0.1467   0.0702 
  -0.02   -2.50   1.2666   0.5376   0.2405   0.1464   0.0701 
  -0.01   -2.50   1.2654   0.5372   0.2403   0.1462   0.0700 
   0.00   -2.50   1.2642   0.5368   0.2400   0.1460   0.0699 
   0.01   -2.50   1.2631   0.5363   0.2398   0.1458   0.0698 
   0.02   -2.50   1.2619   0.5359   0.2395   0.1456   0.0697 
   0.03   -2.50   1.2608   0.5355   0.2393   0.1453   0.0696 
   0.04   -2.50   1.2596   0.5351   0.2390   0.1451   0.0695 
   0.05   -2.50   1.2584   0.5347   0.2388   0.1449   0.0694 
   0.06   -2.50   1.2573   0.5343   0.2385   0.1447   0.0693 
   0.07   -2.50   1.2561   0.5339   0.2383   0.1445   0.0692 
   0.08   -2.50   1.2550   0.5335   0.2380   0.1442   0.0691 
   0.09   -2.50   1.2538   0.5330   0.2378   0.1440   0.0690 
   0.10   -2.50   1.2526   0.5326   0.2375   0.1438   0.0689 
   0.11   -2.50   1.2515   0.5322   0.2373   0.1436   0.0688 
   0.12   -2.50   1.2503   0.5318   0.2370   0.1434   0.0687 
   0.13   -2.50   1.2491   0.5314   0.2368   0.1431   0.0686 
   0.14   -2.50   1.2480   0.5310   0.2365   0.1429   0.0685 
   0.15   -2.50   1.2468   0.5306   0.2363   0.1427   0.0684 
   0.16   -2.50   1.2456   0.5302   0.2360   0.1425   0.0683 
   0.17   -2.50   1.2445   0.5297   0.2358   0.1422   0.0682 
   0.18   -2.50   1.2433   0.5293   0.2355   0.1420   0.0680 
   0.19   -2.50   1.2422   0.5289   0.2353   0.1418   0.0679 
   0.20   -2.50   1.2410   0.5285   0.2350   0.1416   0.0678 
   0.21   -2.50   1.2398   0.5281   0.2348   0.1414   0.0677 
   0.22   -2.50   1.2387   0.5277   0.2345   0.1411   0.0676 
   0.23   -2.50   1.2375   0.5273   0.2343   0.1409   0.0675 
   0.24   -2.50   1.2363   0.5269   0.2340   0.1407   0.0674 
   0.25   -2.50   1.2352   0.5264   0.2338   0.1405   0.0673 
   0.26   -2.50   1.2340   0.5260   0.2335   0.1403   0.0672 
   0.27   -2.50   1.2329   0.5256   0.2333   0.1400   0.0671 
   0.28   -2.50   1.2317   0.5252   0.2330   0.1398   0.0670 
   0.29   -2.50   1.2305   0.5248   0.2328   0.1396   0.0669 
   0.30   -2.50   1.2294   0.5244   0.2325   0.1394   0.0668 
   0.31   -2.50   1.2282   0.5240   0.2323   0.1392   0.0667 
