# SDSS locus augmented with DSED isochrones for 1 Gyr
   tLoc    Mr    FeH     ug      gr      ri      iz   
   1.64  -0.82  0.50   3.722   1.196   0.646   0.395
   1.65  -0.80  0.50   3.715   1.194   0.634   0.389
   1.66  -0.77  0.50   3.704   1.191   0.622   0.382
   1.67  -0.74  0.50   3.692   1.187   0.608   0.374
   1.68  -0.76  0.50   3.699   1.190   0.625   0.383
   1.69  -0.74  0.50   3.690   1.187   0.616   0.378
   1.70  -0.72  0.50   3.681   1.184   0.606   0.373
   1.71  -0.69  0.50   3.668   1.180   0.593   0.366
   1.72  -0.67  0.50   3.659   1.177   0.588   0.362
   1.73  -0.65  0.50   3.649   1.174   0.580   0.358
   1.74  -0.62  0.50   3.634   1.170   0.570   0.352
   1.75  -0.61  0.50   3.624   1.166   0.562   0.347
   1.76  -0.57  0.50   3.608   1.161   0.552   0.341
   1.77  -0.54  0.50   3.591   1.156   0.542   0.336
   1.78  -0.50  0.50   3.573   1.151   0.533   0.330
   1.79  -0.47  0.50   3.553   1.144   0.523   0.324
   1.80  -0.43  0.50   3.535   1.138   0.514   0.318
   1.81  -0.40  0.50   3.515   1.131   0.505   0.313
   1.82  -0.35  0.50   3.493   1.124   0.496   0.307
   1.83  -0.32  0.50   3.473   1.118   0.488   0.303
   1.84  -0.27  0.50   3.448   1.109   0.479   0.297
   1.85  -0.23  0.50   3.424   1.102   0.471   0.292
   1.86  -0.19  0.50   3.401   1.094   0.464   0.287
   1.87  -0.14  0.50   3.376   1.086   0.456   0.283
   1.88  -0.10  0.50   3.353   1.078   0.450   0.278
   1.89  -0.05  0.50   3.323   1.069   0.442   0.273
   1.90  -0.01  0.50   3.299   1.061   0.436   0.269
   1.91   0.04  0.50   3.269   1.051   0.428   0.264
   1.92   0.09  0.50   3.244   1.043   0.422   0.261
   1.93   0.13  0.50   3.219   1.035   0.417   0.257
   1.94   0.18  0.50   3.191   1.026   0.411   0.253
   1.95   0.24  0.50   3.161   1.016   0.405   0.249
   1.96   0.28  0.50   3.136   1.007   0.400   0.246
   1.97   0.33  0.50   3.109   0.999   0.394   0.242
   1.98   0.38  0.50   3.083   0.990   0.390   0.239
   1.99   0.44  0.50   3.055   0.981   0.384   0.235
   2.00   0.47  0.50   3.035   0.975   0.381   0.233
   2.01   0.53  0.50   3.005   0.965   0.375   0.230
   2.02   0.57  0.50   2.983   0.958   0.372   0.227
   2.03   0.63  0.50   2.952   0.947   0.366   0.223
   2.04   0.68  0.50   2.928   0.939   0.362   0.220
   2.05   0.73  0.50   2.905   0.932   0.358   0.218
   2.06   0.77  0.50   2.880   0.923   0.354   0.215
   2.07   0.82  0.50   2.855   0.915   0.350   0.212
   2.08   0.87  0.50   2.830   0.906   0.346   0.209
   2.09   0.92  0.50   2.804   0.898   0.342   0.206
   2.10   0.95  0.50   2.786   0.892   0.339   0.204
   2.11   1.00  0.50   2.763   0.885   0.335   0.202
   2.12   1.06  0.50   2.733   0.875   0.330   0.199
   2.13   1.10  0.50   2.714   0.869   0.327   0.196
   2.14   1.14  0.50   2.688   0.860   0.323   0.193
   2.15   1.18  0.50   2.668   0.853   0.320   0.191
   2.16   1.21  0.50   2.651   0.847   0.317   0.189
   2.17   1.22  0.50   2.648   0.846   0.317   0.189
   2.18   1.22  0.50   2.646   0.846   0.316   0.189
   2.19   1.23  0.50   2.643   0.845   0.316   0.188
   2.20   1.23  0.50   2.641   0.844   0.316   0.188
   2.21   1.23  0.50   2.638   0.843   0.315   0.188
   2.22   1.24  0.50   2.635   0.842   0.315   0.187
   2.23   1.24  0.50   2.633   0.841   0.315   0.187
   2.24   1.25  0.50   2.630   0.840   0.314   0.187
   2.25   1.25  0.50   2.627   0.839   0.314   0.186
   2.26   1.26  0.50   2.625   0.838   0.313   0.186
   2.27   1.28  0.50   2.607   0.832   0.310   0.184
   2.28   1.31  0.50   2.587   0.825   0.307   0.182
   2.29   1.34  0.50   2.565   0.817   0.304   0.179
   2.30   1.36  0.50   2.539   0.808   0.300   0.176
   2.31   1.38  0.50   2.507   0.797   0.295   0.172
   2.32   1.39  0.50   2.472   0.784   0.289   0.168
   2.33   1.40  0.50   2.437   0.772   0.284   0.164
   2.34   1.40  0.50   2.404   0.760   0.279   0.161
   2.35   1.40  0.50   2.373   0.749   0.275   0.157
   2.36   1.40  0.50   2.341   0.738   0.270   0.153
   2.37   1.39  0.50   2.308   0.726   0.265   0.149
   2.38   1.38  0.50   2.271   0.713   0.260   0.145
   2.39   1.36  0.50   2.234   0.699   0.255   0.141
   2.40   1.33  0.50   2.198   0.687   0.250   0.137
   2.41   1.30  0.50   2.164   0.675   0.245   0.133
   2.42   1.26  0.50   2.132   0.663   0.241   0.130
   2.43   1.22  0.50   2.101   0.652   0.237   0.126
   2.44   1.19  0.50   2.071   0.640   0.232   0.123
   2.45   1.15  0.50   2.043   0.629   0.228   0.120
   2.46   1.11  0.50   2.014   0.617   0.224   0.116
   2.47   1.08  0.50   1.987   0.606   0.220   0.113
   2.48   1.04  0.50   1.959   0.594   0.216   0.110
   2.49   1.01  0.50   1.931   0.582   0.211   0.106
   2.50   0.97  0.50   1.904   0.569   0.207   0.103
   2.51   0.94  0.50   1.877   0.557   0.202   0.100
   2.52   0.91  0.50   1.849   0.544   0.197   0.096
   2.53   0.88  0.50   1.822   0.531   0.193   0.093
   2.54   0.85  0.50   1.794   0.518   0.188   0.089
   2.55   0.83  0.50   1.767   0.504   0.183   0.085
   2.56   0.80  0.50   1.740   0.490   0.178   0.082
   2.57   0.78  0.50   1.713   0.477   0.172   0.078
   2.58   0.76  0.50   1.687   0.463   0.167   0.074
   2.59   0.74  0.50   1.662   0.449   0.162   0.071
   2.60   0.72  0.50   1.639   0.436   0.157   0.067
   2.61   0.71  0.50   1.618   0.422   0.152   0.063
   2.62   0.70  0.50   1.599   0.410   0.147   0.060
   2.63   0.68  0.50   1.580   0.398   0.142   0.056
   2.64   0.67  0.50   1.559   0.385   0.137   0.053
   2.65   0.66  0.50   1.539   0.372   0.132   0.049
   2.66   0.65  0.50   1.518   0.358   0.126   0.045
   2.67   0.65  0.50   1.496   0.344   0.120   0.041
   2.68   0.64  0.50   1.471   0.331   0.115   0.037
   2.69   0.63  0.50   1.445   0.318   0.109   0.033
   2.70   0.63  0.50   1.424   0.302   0.103   0.029
   2.71   0.63  0.50   1.403   0.286   0.096   0.024
   2.72   0.62  0.50   1.383   0.269   0.088   0.019
   2.73   0.62  0.50   1.362   0.250   0.080   0.014
   2.74   0.63  0.50   1.341   0.230   0.071   0.008
   2.75   0.63  0.50   1.321   0.209   0.061   0.001
   2.76   0.64  0.50   1.303   0.187   0.051  -0.006
   2.77   0.66  0.50   1.287   0.165   0.041  -0.012
   2.78   0.68  0.50   1.274   0.147   0.032  -0.018
   2.79   0.70  0.50   1.265   0.132   0.025  -0.023
   2.80   0.73  0.50   1.257   0.119   0.019  -0.027
   2.81   0.75  0.50   1.248   0.103   0.010  -0.032
   2.82   0.75  0.50   1.241   0.087   0.002  -0.037
   2.83   0.74  0.50   1.237   0.074  -0.004  -0.041
   2.84   0.72  0.50   1.235   0.065  -0.009  -0.043
   2.85   0.71  0.50   1.234   0.058  -0.013  -0.045
   2.86   0.69  0.50   1.233   0.051  -0.016  -0.047
   2.87   0.68  0.50   1.232   0.045  -0.019  -0.049
   2.88   0.66  0.50   1.231   0.039  -0.022  -0.050
   2.89   0.64  0.50   1.230   0.034  -0.025  -0.051
   2.90   0.63  0.50   1.231   0.035  -0.024  -0.051
   2.91   0.64  0.50   1.233   0.044  -0.020  -0.048
   2.92   0.66  0.50   1.235   0.053  -0.015  -0.046
   2.93   0.67  0.50   1.237   0.062  -0.010  -0.044
   2.94   0.69  0.50   1.239   0.071  -0.006  -0.041
   2.95   0.70  0.50   1.242   0.080  -0.001  -0.039
   2.96   0.72  0.50   1.244   0.089   0.003  -0.036
   2.97   0.73  0.50   1.247   0.098   0.008  -0.033
   2.98   0.75  0.50   1.251   0.108   0.013  -0.031
   2.99   0.76  0.50   1.255   0.118   0.018  -0.028
   3.00   0.77  0.50   1.259   0.127   0.023  -0.025
   3.01   0.79  0.50   1.263   0.137   0.027  -0.022
   3.02   0.80  0.50   1.268   0.147   0.032  -0.019
   3.03   0.81  0.50   1.274   0.157   0.037  -0.016
   3.04   0.82  0.50   1.279   0.166   0.041  -0.013
   3.05   0.83  0.50   1.284   0.175   0.046  -0.011
   3.06   0.84  0.50   1.290   0.183   0.050  -0.008
   3.07   0.85  0.50   1.295   0.191   0.053  -0.006
   3.08   0.86  0.50   1.300   0.198   0.057  -0.004
   3.09   0.87  0.50   1.305   0.205   0.060  -0.001
   3.10   0.88  0.50   1.310   0.211   0.062   0.000
   3.11   0.89  0.50   1.315   0.216   0.065   0.002
   3.12   0.89  0.50   1.319   0.221   0.067   0.003
   3.13   0.90  0.50   1.323   0.226   0.069   0.005
   3.14   0.91  0.50   1.326   0.230   0.071   0.006
   3.15   0.91  0.50   1.330   0.234   0.073   0.007
   3.16   0.92  0.50   1.333   0.237   0.074   0.008
   3.17   0.92  0.50   1.336   0.240   0.076   0.009
   3.18   0.93  0.50   1.339   0.243   0.077   0.010
   3.19   0.93  0.50   1.341   0.246   0.078   0.011
   3.20   0.94  0.50   1.344   0.248   0.079   0.011
   3.21   0.94  0.50   1.346   0.250   0.080   0.012
   3.22   0.94  0.50   1.348   0.253   0.081   0.013
   3.23   0.95  0.50   1.350   0.254   0.082   0.013
   3.24   0.95  0.50   1.352   0.256   0.083   0.014
   3.25   0.95  0.50   1.353   0.258   0.084   0.014
   3.26   0.96  0.50   1.355   0.259   0.084   0.015
   3.27   0.96  0.50   1.356   0.260   0.085   0.015
   3.28   0.96  0.50   1.358   0.262   0.085   0.015
   3.29   0.97  0.50   1.359   0.263   0.086   0.016
   3.30   0.97  0.50   1.360   0.264   0.086   0.016
   3.31   0.97  0.50   1.361   0.265   0.087   0.016
   3.32   0.98  0.50   1.365   0.269   0.088   0.018
   3.33   1.00  0.50   1.369   0.272   0.090   0.019
   3.34   1.01  0.50   1.371   0.275   0.091   0.019
   3.35   1.03  0.50   1.372   0.276   0.091   0.020
   3.36   1.04  0.50   1.371   0.276   0.091   0.019
   3.37   1.06  0.50   1.368   0.274   0.090   0.019
   3.38   1.08  0.50   1.363   0.270   0.089   0.017
   3.39   1.10  0.50   1.357   0.266   0.087   0.016
   3.40   1.12  0.50   1.350   0.260   0.085   0.014
   3.41   1.13  0.50   1.344   0.255   0.082   0.013
   3.42   1.15  0.50   1.337   0.249   0.080   0.011
   3.43   1.17  0.50   1.330   0.244   0.077   0.009
   3.44   1.18  0.50   1.324   0.238   0.075   0.007
   3.45   1.20  0.50   1.318   0.233   0.073   0.006
   3.46   1.21  0.50   1.313   0.228   0.070   0.004
   3.47   1.23  0.50   1.307   0.223   0.068   0.002
   3.48   1.24  0.50   1.303   0.219   0.066   0.001
   3.49   1.26  0.50   1.298   0.214   0.064  -0.000
   3.50   1.27  0.50   1.293   0.210   0.062  -0.002
   3.51   1.29  0.50   1.289   0.206   0.060  -0.003
   3.52   1.31  0.50   1.285   0.202   0.059  -0.004
   3.53   1.32  0.50   1.282   0.198   0.057  -0.006
   3.54   1.34  0.50   1.278   0.194   0.055  -0.007
   3.55   1.35  0.50   1.275   0.191   0.054  -0.008
   3.56   1.37  0.50   1.272   0.188   0.052  -0.009
   3.57   1.39  0.50   1.269   0.184   0.050  -0.010
   3.58   1.40  0.50   1.266   0.181   0.049  -0.011
   3.59   1.42  0.50   1.263   0.179   0.048  -0.012
   3.60   1.44  0.50   1.260   0.176   0.047  -0.013
   3.61   1.46  0.50   1.258   0.174   0.046  -0.014
   3.62   1.49  0.50   1.254   0.170   0.044  -0.015
   3.63   1.52  0.50   1.251   0.167   0.042  -0.017
   3.64   1.55  0.50   1.248   0.164   0.041  -0.017
   3.65   1.58  0.50   1.245   0.162   0.040  -0.018
   3.66   1.61  0.50   1.243   0.160   0.039  -0.019
   3.67   1.64  0.50   1.241   0.159   0.039  -0.020
   3.68   1.67  0.50   1.239   0.158   0.038  -0.020
   3.69   1.71  0.50   1.237   0.157   0.038  -0.021
   3.70   1.74  0.50   1.235   0.157   0.038  -0.021
   3.71   1.77  0.50   1.235   0.157   0.038  -0.021
   3.72   1.80  0.50   1.234   0.157   0.038  -0.021
   3.73   1.83  0.50   1.233   0.158   0.038  -0.021
   3.74   1.86  0.50   1.233   0.159   0.039  -0.020
   3.75   1.89  0.50   1.233   0.161   0.040  -0.020
   3.76   1.92  0.50   1.232   0.162   0.040  -0.020
   3.77   1.95  0.50   1.232   0.164   0.041  -0.019
   3.78   1.98  0.50   1.232   0.166   0.042  -0.019
   3.79   2.01  0.50   1.233   0.167   0.043  -0.019
   3.80   2.05  0.50   1.233   0.170   0.044  -0.018
   3.81   2.08  0.50   1.233   0.172   0.045  -0.017
   3.82   2.11  0.50   1.234   0.174   0.046  -0.017
   3.83   2.14  0.50   1.235   0.177   0.047  -0.016
   3.84   2.17  0.50   1.236   0.179   0.049  -0.015
   3.85   2.21  0.50   1.237   0.182   0.050  -0.014
   3.86   2.24  0.50   1.238   0.185   0.051  -0.014
   3.87   2.27  0.50   1.239   0.187   0.052  -0.013
   3.88   2.30  0.50   1.240   0.190   0.054  -0.012
   3.89   2.33  0.50   1.241   0.193   0.055  -0.011
   3.90   2.36  0.50   1.242   0.195   0.056  -0.011
   3.91   2.39  0.50   1.244   0.198   0.057  -0.010
   3.92   2.61  0.50   1.258   0.220   0.067  -0.003
   3.93   2.75  0.50   1.263   0.231   0.072  -0.000
   3.94   3.00  0.50   1.301   0.268   0.087   0.011
   3.95   3.17  0.50   1.330   0.292   0.097   0.018
   3.96   3.37  0.50   1.367   0.320   0.108   0.026
   3.97   3.52  0.50   1.402   0.343   0.117   0.033
   3.98   3.69  0.50   1.449   0.371   0.127   0.040
   3.99   3.96  0.50   1.536   0.417   0.144   0.053
   4.00   4.00  0.50   1.536   0.417   0.144   0.053
   4.01   4.01  0.50   1.539   0.419   0.145   0.054
   4.02   4.02  0.50   1.544   0.421   0.146   0.055
   4.03   4.03  0.50   1.546   0.422   0.146   0.054
   4.04   4.04  0.50   1.551   0.424   0.147   0.055
   4.05   4.05  0.50   1.554   0.425   0.147   0.056
   4.06   4.06  0.50   1.558   0.427   0.147   0.055
   4.07   4.07  0.50   1.561   0.428   0.148   0.057
   4.08   4.08  0.50   1.564   0.430   0.149   0.057
   4.09   4.09  0.50   1.568   0.431   0.149   0.057
   4.10   4.10  0.50   1.572   0.433   0.151   0.058
   4.11   4.11  0.50   1.574   0.434   0.151   0.058
   4.12   4.12  0.50   1.578   0.436   0.151   0.059
   4.13   4.13  0.50   1.581   0.438   0.152   0.059
