## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = 0.0 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   7.75  -0.399   -0.019    0.328    0.229    0.00  
   7.80  -0.412   -0.054    0.322    0.232   -0.10  
   7.84  -0.423   -0.088    0.315    0.235   -0.20  
   7.89  -0.434   -0.121    0.307    0.238   -0.30  
   7.93  -0.444   -0.152    0.297    0.241   -0.40  
   7.97  -0.453   -0.182    0.287    0.242   -0.50  
   8.01  -0.461   -0.211    0.275    0.243   -0.60  
   8.04  -0.468   -0.239    0.262    0.244   -0.70  
   8.08  -0.475   -0.265    0.249    0.243   -0.80  
   8.11  -0.482   -0.289    0.234    0.242   -0.90  
   8.14  -0.487   -0.313    0.218    0.240   -1.00  
   8.16  -0.493   -0.334    0.202    0.238   -1.10  
   8.19  -0.498   -0.355    0.185    0.234   -1.20  
   8.21  -0.502   -0.374    0.168    0.230   -1.30  
   8.24  -0.506   -0.392    0.150    0.226   -1.40  
   8.26  -0.510   -0.409    0.131    0.220   -1.50  
   8.28  -0.514   -0.425    0.113    0.214   -1.60  
   8.29  -0.517   -0.439    0.094    0.207   -1.70  
   8.31  -0.520   -0.453    0.075    0.200   -1.80  
   8.33  -0.522   -0.465    0.057    0.191   -1.90  
   8.34  -0.525   -0.477    0.038    0.183   -2.00  
   8.35  -0.527   -0.488    0.019    0.174   -2.10  
   8.37  -0.529   -0.498    0.001    0.164   -2.20  
   8.38  -0.531   -0.507   -0.017    0.154   -2.30  
   8.39  -0.532   -0.516   -0.034    0.143   -2.40  
   8.40  -0.534   -0.523   -0.051    0.133   -2.50  
   8.41  -0.535   -0.531   -0.068    0.121   -2.60  
   8.41  -0.537   -0.537   -0.084    0.110   -2.70  
   8.42  -0.538   -0.543   -0.100    0.098   -2.80  
   8.43  -0.539   -0.549   -0.115    0.086   -2.90  
   8.43  -0.540   -0.554   -0.130    0.074   -3.00  
   8.44  -0.541   -0.559   -0.144    0.062   -3.10  
   8.44  -0.542   -0.563   -0.158    0.049   -3.20  
   8.45  -0.543   -0.567   -0.171    0.037   -3.30  
   8.45  -0.543   -0.571   -0.184    0.025   -3.40  
   8.46  -0.544   -0.574   -0.196    0.012   -3.50  
   8.46  -0.545   -0.577   -0.209   -0.003   -3.60  
   8.46  -0.545   -0.580   -0.221   -0.018   -3.70  
   8.47  -0.546   -0.582   -0.232   -0.032   -3.80  
   8.47  -0.546   -0.585   -0.243   -0.047   -3.90  
   8.47  -0.546   -0.587   -0.254   -0.061   -4.00  
   8.48  -0.547   -0.589   -0.263   -0.075   -4.10  
   8.48  -0.547   -0.591   -0.272   -0.088   -4.20  
   8.48  -0.547   -0.592   -0.281   -0.101   -4.30  
   8.48  -0.548   -0.594   -0.289   -0.114   -4.40  
   8.48  -0.548   -0.595   -0.296   -0.126   -4.50  
