## Mr-color sequences for H (DA) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   7.75  -0.378   -0.042    0.140    0.090    0.00  
   7.80  -0.395   -0.073    0.131    0.089   -0.10  
   7.84  -0.410   -0.103    0.123    0.087   -0.20  
   7.89  -0.423   -0.133    0.113    0.086   -0.30  
   7.93  -0.436   -0.162    0.104    0.084   -0.40  
   7.97  -0.447   -0.190    0.093    0.081   -0.50  
   8.01  -0.456   -0.217    0.083    0.079   -0.60  
   8.04  -0.465   -0.243    0.072    0.076   -0.70  
   8.08  -0.473   -0.268    0.061    0.073   -0.80  
   8.11  -0.480   -0.291    0.049    0.070   -0.90  
   8.14  -0.487   -0.314    0.038    0.067   -1.00  
   8.16  -0.492   -0.335    0.026    0.063   -1.10  
   8.19  -0.497   -0.356    0.015    0.060   -1.20  
   8.21  -0.502   -0.375    0.003    0.056   -1.30  
   8.24  -0.506   -0.393   -0.009    0.052   -1.40  
   8.26  -0.510   -0.409   -0.021    0.048   -1.50  
   8.28  -0.514   -0.425   -0.033    0.043   -1.60  
   8.29  -0.517   -0.439   -0.046    0.038   -1.70  
   8.31  -0.520   -0.453   -0.058    0.033   -1.80  
   8.33  -0.522   -0.466   -0.071    0.027   -1.90  
   8.34  -0.525   -0.477   -0.083    0.020   -2.00  
   8.35  -0.527   -0.488   -0.096    0.014   -2.10  
   8.37  -0.529   -0.498   -0.109    0.006   -2.20  
   8.38  -0.531   -0.507   -0.121   -0.001   -2.30  
   8.39  -0.532   -0.516   -0.133   -0.009   -2.40  
   8.40  -0.534   -0.524   -0.145   -0.017   -2.50  
   8.41  -0.535   -0.531   -0.157   -0.026   -2.60  
   8.41  -0.537   -0.537   -0.169   -0.035   -2.70  
   8.42  -0.538   -0.544   -0.180   -0.043   -2.80  
   8.43  -0.539   -0.549   -0.191   -0.052   -2.90  
   8.43  -0.540   -0.554   -0.202   -0.062   -3.00  
   8.44  -0.541   -0.559   -0.212   -0.071   -3.10  
   8.44  -0.542   -0.563   -0.222   -0.080   -3.20  
   8.45  -0.542   -0.567   -0.232   -0.090   -3.30  
   8.45  -0.543   -0.571   -0.241   -0.099   -3.40  
   8.46  -0.544   -0.574   -0.249   -0.107   -3.50  
   8.46  -0.544   -0.577   -0.257   -0.114   -3.60  
   8.46  -0.545   -0.580   -0.264   -0.120   -3.70  
   8.47  -0.545   -0.583   -0.271   -0.127   -3.80  
   8.47  -0.546   -0.585   -0.277   -0.133   -3.90  
   8.47  -0.546   -0.587   -0.283   -0.139   -4.00  
   8.48  -0.546   -0.589   -0.289   -0.146   -4.10  
   8.48  -0.547   -0.591   -0.295   -0.152   -4.20  
   8.48  -0.547   -0.593   -0.301   -0.158   -4.30  
   8.48  -0.547   -0.594   -0.306   -0.165   -4.40  
   8.48  -0.548   -0.595   -0.311   -0.171   -4.50  
   8.48  -0.548   -0.597   -0.316   -0.177   -4.60  
   8.49  -0.548   -0.598   -0.320   -0.183   -4.70  
   8.49  -0.548   -0.599   -0.325   -0.189   -4.80  
   8.49  -0.548   -0.600   -0.329   -0.195   -4.90  
   8.49  -0.549   -0.601   -0.333   -0.200   -5.00  
   8.49  -0.549   -0.602   -0.336   -0.206   -5.10  
   8.49  -0.549   -0.602   -0.340   -0.211   -5.20  
   8.49  -0.549   -0.603   -0.343   -0.217   -5.30  
   8.49  -0.549   -0.604   -0.346   -0.222   -5.40  
   8.49  -0.549   -0.604   -0.350   -0.227   -5.50  
   8.49  -0.549   -0.605   -0.353   -0.237   -5.60  
   8.49  -0.549   -0.605   -0.357   -0.246   -5.70  
   8.49  -0.549   -0.606   -0.360   -0.255   -5.80  
   8.50  -0.549   -0.606   -0.364   -0.263   -5.90  
   8.50  -0.549   -0.606   -0.366   -0.271   -6.00  
   7.80  -0.362   -0.007    0.159    0.100    0.10  
   7.85  -0.380   -0.039    0.152    0.100    0.00  
   7.90  -0.397   -0.070    0.144    0.099   -0.10  
   7.94  -0.411   -0.101    0.135    0.098   -0.20  
   7.99  -0.424   -0.131    0.125    0.096   -0.30  
   8.03  -0.436   -0.160    0.116    0.094   -0.40  
