## Mr-color sequences for He (DB+DC) white dwarf plus M dwarf with [Fe/H] = 0.0 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   7.75  -0.588   -0.069    0.285    0.225    0.00  
   7.80  -0.600   -0.104    0.277    0.228   -0.10  
   7.84  -0.611   -0.139    0.268    0.231   -0.20  
   7.89  -0.622   -0.172    0.257    0.234   -0.30  
   7.93  -0.631   -0.204    0.245    0.236   -0.40  
   7.97  -0.640   -0.235    0.232    0.238   -0.50  
   8.01  -0.648   -0.264    0.218    0.239   -0.60  
   8.04  -0.655   -0.292    0.203    0.239   -0.70  
   8.08  -0.662   -0.319    0.186    0.238   -0.80  
   8.11  -0.668   -0.343    0.169    0.237   -0.90  
   8.14  -0.673   -0.367    0.150    0.235   -1.00  
   8.16  -0.679   -0.389    0.131    0.232   -1.10  
   8.19  -0.683   -0.410    0.111    0.228   -1.20  
   8.21  -0.688   -0.429    0.091    0.223   -1.30  
   8.24  -0.691   -0.448    0.070    0.218   -1.40  
   8.26  -0.695   -0.465    0.048    0.211   -1.50  
   8.28  -0.698   -0.481    0.027    0.204   -1.60  
   8.29  -0.701   -0.495    0.005    0.196   -1.70  
   8.31  -0.704   -0.509   -0.017    0.188   -1.80  
   8.33  -0.707   -0.522   -0.039    0.178   -1.90  
   8.34  -0.709   -0.534   -0.060    0.169   -2.00  
   8.35  -0.711   -0.544   -0.082    0.158   -2.10  
   8.37  -0.713   -0.555   -0.103    0.147   -2.20  
   8.38  -0.715   -0.564   -0.124    0.135   -2.30  
   8.39  -0.717   -0.572   -0.145    0.122   -2.40  
   8.40  -0.718   -0.580   -0.165    0.109   -2.50  
   8.41  -0.719   -0.588   -0.184    0.096   -2.60  
   8.41  -0.721   -0.594   -0.203    0.082   -2.70  
   8.42  -0.722   -0.600   -0.222    0.068   -2.80  
   8.43  -0.723   -0.606   -0.240    0.053   -2.90  
   8.43  -0.724   -0.611   -0.257    0.039   -3.00  
   8.44  -0.725   -0.616   -0.274    0.024   -3.10  
   8.44  -0.726   -0.620   -0.290    0.008   -3.20  
   8.45  -0.726   -0.624   -0.305   -0.007   -3.30  
   8.45  -0.727   -0.628   -0.320   -0.022   -3.40  
   8.46  -0.728   -0.631   -0.334   -0.038   -3.50  
   8.46  -0.728   -0.635   -0.349   -0.057   -3.60  
   8.46  -0.729   -0.637   -0.364   -0.076   -3.70  
   8.47  -0.729   -0.640   -0.377   -0.094   -3.80  
   8.47  -0.729   -0.642   -0.390   -0.113   -3.90  
   8.47  -0.730   -0.645   -0.402   -0.131   -4.00  
   8.48  -0.730   -0.647   -0.414   -0.149   -4.10  
   8.48  -0.730   -0.648   -0.424   -0.166   -4.20  
   8.48  -0.731   -0.650   -0.435   -0.184   -4.30  
   8.48  -0.731   -0.652   -0.444   -0.200   -4.40  
   8.48  -0.731   -0.653   -0.453   -0.217   -4.50  
   8.48  -0.731   -0.654   -0.461   -0.233   -4.60  
   8.49  -0.732   -0.655   -0.469   -0.248   -4.70  
   8.49  -0.732   -0.657   -0.477   -0.263   -4.80  
   8.49  -0.732   -0.658   -0.484   -0.277   -4.90  
   8.49  -0.732   -0.658   -0.490   -0.291   -5.00  
   8.49  -0.732   -0.659   -0.496   -0.305   -5.10  
   8.49  -0.732   -0.660   -0.502   -0.318   -5.20  
   8.49  -0.732   -0.661   -0.507   -0.330   -5.30  
   8.49  -0.732   -0.661   -0.512   -0.342   -5.40  
   8.49  -0.733   -0.662   -0.516   -0.353   -5.50  
   8.49  -0.733   -0.662   -0.521   -0.367   -5.60  
   8.49  -0.733   -0.663   -0.525   -0.380   -5.70  
   8.49  -0.733   -0.663   -0.529   -0.392   -5.80  
   8.50  -0.733   -0.664   -0.533   -0.403   -5.90  
   8.50  -0.733   -0.664   -0.537   -0.414   -6.00  
   7.80  -0.551   -0.022    0.315    0.236    0.10  
   7.85  -0.565   -0.059    0.308    0.240    0.00  
   7.90  -0.577   -0.094    0.300    0.244   -0.10  
   7.94  -0.588   -0.129    0.290    0.247   -0.20  
   7.99  -0.599   -0.162    0.279    0.250   -0.30  
   8.03  -0.608   -0.194    0.267    0.253   -0.40  
   8.07  -0.617   -0.225    0.254    0.254   -0.50  
   8.11  -0.625   -0.254    0.240    0.255   -0.60  
   8.14  -0.632   -0.282    0.224    0.255   -0.70  
   8.18  -0.639   -0.308    0.207    0.255   -0.80  
   8.21  -0.645   -0.333    0.189    0.253   -0.90  
   8.24  -0.651   -0.357    0.170    0.251   -1.00  
   8.26  -0.656   -0.379    0.151    0.248   -1.10  
   8.29  -0.661   -0.399    0.131    0.244   -1.20  
   8.31  -0.665   -0.419    0.110    0.239   -1.30  
   8.34  -0.669   -0.437    0.088    0.234   -1.40  
   8.36  -0.673   -0.454    0.067    0.227   -1.50  
   8.38  -0.676   -0.470    0.045    0.220   -1.60  
   8.39  -0.679   -0.484    0.023    0.212   -1.70  
   8.41  -0.682   -0.498    0.001    0.204   -1.80  
   8.43  -0.684   -0.511   -0.021    0.194   -1.90  
   8.44  -0.687   -0.523   -0.043    0.184   -2.00  
   8.45  -0.689   -0.534   -0.065    0.174   -2.10  
   8.47  -0.691   -0.544   -0.087    0.163   -2.20  
   8.48  -0.693   -0.553   -0.108    0.151   -2.30  
   8.49  -0.694   -0.561   -0.129    0.138   -2.40  
   8.50  -0.696   -0.569   -0.149    0.125   -2.50  
   8.51  -0.697   -0.577   -0.169    0.112   -2.60  
   8.51  -0.698   -0.583   -0.188    0.098   -2.70  
   8.52  -0.700   -0.589   -0.207    0.084   -2.80  
   8.53  -0.701   -0.595   -0.225    0.069   -2.90  
   8.53  -0.702   -0.600   -0.242    0.054   -3.00  
   8.54  -0.703   -0.605   -0.259    0.039   -3.10  
   8.54  -0.703   -0.609   -0.275    0.024   -3.20  
   8.55  -0.704   -0.613   -0.291    0.009   -3.30  
   8.55  -0.705   -0.617   -0.306   -0.006   -3.40  
   8.56  -0.705   -0.620   -0.322   -0.025   -3.50  
   8.56  -0.706   -0.623   -0.337   -0.045   -3.60  
   8.56  -0.706   -0.626   -0.352   -0.063   -3.70  
   8.57  -0.707   -0.629   -0.365   -0.082   -3.80  
   8.57  -0.707   -0.631   -0.378   -0.101   -3.90  
   8.57  -0.708   -0.633   -0.390   -0.119   -4.00  
   8.58  -0.708   -0.635   -0.402   -0.137   -4.10  
   8.58  -0.708   -0.637   -0.413   -0.154   -4.20  
   8.58  -0.708   -0.639   -0.423   -0.172   -4.30  
   8.58  -0.709   -0.641   -0.432   -0.188   -4.40  
   8.58  -0.709   -0.642   -0.441   -0.205   -4.50  
   8.58  -0.709   -0.643   -0.450   -0.221   -4.60  
   8.59  -0.709   -0.644   -0.458   -0.236   -4.70  
   8.59  -0.709   -0.645   -0.465   -0.251   -4.80  
   8.59  -0.710   -0.646   -0.472   -0.265   -4.90  
   8.59  -0.710   -0.647   -0.478   -0.279   -5.00  
   8.59  -0.710   -0.648   -0.484   -0.293   -5.10  
   8.59  -0.710   -0.649   -0.490   -0.306   -5.20  
   8.59  -0.710   -0.650   -0.495   -0.318   -5.30  
   8.59  -0.710   -0.650   -0.500   -0.330   -5.40  
   8.59  -0.710   -0.651   -0.505   -0.344   -5.50  
   8.59  -0.710   -0.651   -0.510   -0.358   -5.60  
   8.59  -0.710   -0.652   -0.514   -0.370   -5.70  
   8.59  -0.710   -0.652   -0.518   -0.382   -5.80  
   8.60  -0.711   -0.653   -0.522   -0.394   -5.90  
   7.84  -0.514    0.026    0.343    0.246    0.20  
   7.90  -0.528   -0.012    0.337    0.251    0.10  
   7.95  -0.542   -0.049    0.330    0.256    0.00  
   8.00  -0.554   -0.084    0.322    0.260   -0.10  
   8.04  -0.565   -0.119    0.313    0.263   -0.20  
   8.09  -0.576   -0.152    0.302    0.266   -0.30  
   8.13  -0.585   -0.184    0.290    0.269   -0.40  
   8.17  -0.594   -0.215    0.276    0.270   -0.50  
   8.21  -0.602   -0.244    0.261    0.271   -0.60  
   8.24  -0.609   -0.272    0.245    0.271   -0.70  
   8.28  -0.616   -0.298    0.228    0.271   -0.80  
   8.31  -0.622   -0.323    0.210    0.269   -0.90  
   8.34  -0.628   -0.346    0.190    0.267   -1.00  
   8.36  -0.633   -0.368    0.171    0.264   -1.10  
   8.39  -0.638   -0.389    0.150    0.260   -1.20  
   8.41  -0.642   -0.408    0.129    0.255   -1.30  
   8.44  -0.646   -0.426    0.107    0.250   -1.40  
   8.46  -0.650   -0.443    0.085    0.243   -1.50  
   8.48  -0.653   -0.459    0.063    0.236   -1.60  
   8.49  -0.656   -0.474    0.041    0.228   -1.70  
   8.51  -0.659   -0.487    0.018    0.220   -1.80  
   8.53  -0.662   -0.500   -0.004    0.210   -1.90  
   8.54  -0.664   -0.512   -0.026    0.200   -2.00  
   8.55  -0.666   -0.523   -0.048    0.190   -2.10  
   8.57  -0.668   -0.533   -0.070    0.178   -2.20  
   8.58  -0.670   -0.542   -0.092    0.167   -2.30  
   8.59  -0.672   -0.551   -0.112    0.154   -2.40  
   8.60  -0.673   -0.558   -0.133    0.141   -2.50  
   8.61  -0.675   -0.566   -0.153    0.128   -2.60  
   8.61  -0.676   -0.572   -0.172    0.114   -2.70  
   8.62  -0.677   -0.578   -0.191    0.100   -2.80  
   8.63  -0.678   -0.584   -0.210    0.085   -2.90  
   8.63  -0.679   -0.589   -0.227    0.070   -3.00  
   8.64  -0.680   -0.594   -0.244    0.055   -3.10  
   8.64  -0.681   -0.598   -0.261    0.040   -3.20  
   8.65  -0.682   -0.602   -0.277    0.025   -3.30  
   8.65  -0.683   -0.606   -0.294    0.006   -3.40  
   8.66  -0.683   -0.609   -0.310   -0.013   -3.50  
   8.66  -0.684   -0.612   -0.325   -0.032   -3.60  
   8.66  -0.684   -0.615   -0.340   -0.051   -3.70  
   8.67  -0.685   -0.618   -0.353   -0.070   -3.80  
   8.67  -0.685   -0.620   -0.366   -0.089   -3.90  
   8.67  -0.685   -0.622   -0.378   -0.107   -4.00  
   8.68  -0.686   -0.624   -0.390   -0.125   -4.10  
   8.68  -0.686   -0.626   -0.401   -0.142   -4.20  
   8.68  -0.686   -0.628   -0.411   -0.159   -4.30  
   8.68  -0.686   -0.629   -0.421   -0.176   -4.40  
   8.68  -0.687   -0.631   -0.430   -0.193   -4.50  
   8.68  -0.687   -0.632   -0.438   -0.209   -4.60  
   8.69  -0.687   -0.633   -0.446   -0.224   -4.70  
   8.69  -0.687   -0.634   -0.453   -0.239   -4.80  
   8.69  -0.687   -0.635   -0.460   -0.253   -4.90  
   8.69  -0.688   -0.636   -0.467   -0.267   -5.00  
   8.69  -0.688   -0.637   -0.473   -0.281   -5.10  
   8.69  -0.688   -0.638   -0.479   -0.294   -5.20  
   8.69  -0.688   -0.638   -0.484   -0.306   -5.30  
   8.69  -0.688   -0.639   -0.489   -0.321   -5.40  
   8.69  -0.688   -0.640   -0.494   -0.335   -5.50  
   8.69  -0.688   -0.640   -0.499   -0.349   -5.60  
   8.69  -0.688   -0.641   -0.503   -0.361   -5.70  
   8.69  -0.688   -0.641   -0.507   -0.373   -5.80  
   7.89  -0.475    0.075    0.370    0.256    0.30  
   7.94  -0.490    0.036    0.366    0.261    0.20  
   8.00  -0.505   -0.002    0.360    0.267    0.10  
   8.05  -0.518   -0.039    0.353    0.271    0.00  
   8.10  -0.531   -0.075    0.345    0.276   -0.10  
   8.14  -0.542   -0.109    0.335    0.279   -0.20  
   8.19  -0.552   -0.142    0.324    0.282   -0.30  
   8.23  -0.562   -0.174    0.311    0.285   -0.40  
   8.27  -0.571   -0.205    0.298    0.286   -0.50  
   8.31  -0.579   -0.234    0.282    0.287   -0.60  
   8.34  -0.586   -0.261    0.266    0.287   -0.70  
   8.38  -0.593   -0.287    0.248    0.287   -0.80  
   8.41  -0.599   -0.312    0.230    0.285   -0.90  
   8.44  -0.605   -0.336    0.210    0.283   -1.00  
   8.46  -0.610   -0.358    0.190    0.280   -1.10  
   8.49  -0.615   -0.378    0.169    0.276   -1.20  
   8.51  -0.620   -0.398    0.148    0.271   -1.30  
   8.54  -0.624   -0.416    0.126    0.265   -1.40  
   8.56  -0.627   -0.432    0.104    0.259   -1.50  
   8.58  -0.631   -0.448    0.081    0.252   -1.60  
   8.59  -0.634   -0.463    0.058    0.244   -1.70  
   8.61  -0.637   -0.477    0.036    0.235   -1.80  
   8.63  -0.639   -0.489    0.013    0.226   -1.90  
   8.64  -0.642   -0.501   -0.009    0.216   -2.00  
   8.65  -0.644   -0.512   -0.032    0.205   -2.10  
   8.67  -0.646   -0.522   -0.054    0.194   -2.20  
   8.68  -0.648   -0.531   -0.075    0.182   -2.30  
   8.69  -0.650   -0.540   -0.096    0.170   -2.40  
   8.70  -0.651   -0.547   -0.117    0.157   -2.50  
   8.71  -0.653   -0.555   -0.137    0.144   -2.60  
   8.71  -0.654   -0.561   -0.157    0.130   -2.70  
   8.72  -0.655   -0.567   -0.176    0.116   -2.80  
   8.73  -0.656   -0.573   -0.195    0.101   -2.90  
   8.73  -0.657   -0.578   -0.212    0.086   -3.00  
   8.74  -0.658   -0.583   -0.230    0.071   -3.10  
   8.74  -0.659   -0.587   -0.246    0.056   -3.20  
   8.75  -0.660   -0.591   -0.264    0.037   -3.30  
   8.75  -0.660   -0.595   -0.281    0.018   -3.40  
   8.76  -0.661   -0.598   -0.298   -0.001   -3.50  
   8.76  -0.661   -0.601   -0.313   -0.020   -3.60  
   8.76  -0.662   -0.604   -0.327   -0.039   -3.70  
   8.77  -0.662   -0.607   -0.341   -0.058   -3.80  
   8.77  -0.663   -0.609   -0.354   -0.076   -3.90  
   8.77  -0.663   -0.611   -0.366   -0.095   -4.00  
   8.78  -0.663   -0.613   -0.378   -0.113   -4.10  
   8.78  -0.664   -0.615   -0.389   -0.130   -4.20  
   8.78  -0.664   -0.617   -0.399   -0.147   -4.30  
   8.78  -0.664   -0.618   -0.409   -0.164   -4.40  
   8.78  -0.664   -0.620   -0.418   -0.181   -4.50  
   8.78  -0.665   -0.621   -0.426   -0.197   -4.60  
   8.79  -0.665   -0.622   -0.434   -0.212   -4.70  
   8.79  -0.665   -0.623   -0.442   -0.227   -4.80  
   8.79  -0.665   -0.624   -0.449   -0.242   -4.90  
   8.79  -0.665   -0.625   -0.455   -0.256   -5.00  
   8.79  -0.665   -0.626   -0.461   -0.269   -5.10  
   8.79  -0.666   -0.627   -0.467   -0.282   -5.20  
   8.79  -0.666   -0.627   -0.473   -0.298   -5.30  
   8.79  -0.666   -0.628   -0.478   -0.312   -5.40  
   8.79  -0.666   -0.629   -0.483   -0.326   -5.50  
   8.79  -0.666   -0.629   -0.488   -0.339   -5.60  
   8.79  -0.666   -0.630   -0.493   -0.352   -5.70  
   7.93  -0.434    0.124    0.396    0.265    0.40  
   7.99  -0.451    0.085    0.393    0.271    0.30  
