## Mr-color sequences for He (DB+DC) white dwarf plus M dwarf with [Fe/H] = -1.5 
## Mr is the total, dMr is the difference between WD and MD. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz       dMr
   7.75  -0.568   -0.091    0.089    0.077    0.00  
   7.80  -0.584   -0.122    0.078    0.076   -0.10  
   7.84  -0.599   -0.153    0.066    0.073   -0.20  
   7.89  -0.612   -0.184    0.054    0.071   -0.30  
   7.93  -0.623   -0.213    0.041    0.068   -0.40  
   7.97  -0.634   -0.242    0.028    0.064   -0.50  
   8.01  -0.643   -0.270    0.014    0.061   -0.60  
   8.04  -0.652   -0.296    0.000    0.057   -0.70  
   8.08  -0.659   -0.321   -0.014    0.053   -0.80  
   8.11  -0.666   -0.345   -0.028    0.048   -0.90  
   8.14  -0.672   -0.368   -0.043    0.044   -1.00  
   8.16  -0.678   -0.390   -0.057    0.040   -1.10  
   8.19  -0.683   -0.411   -0.072    0.035   -1.20  
   8.21  -0.687   -0.430   -0.087    0.030   -1.30  
   8.24  -0.691   -0.448   -0.102    0.024   -1.40  
   8.26  -0.695   -0.465   -0.117    0.019   -1.50  
   8.28  -0.698   -0.481   -0.132    0.012   -1.60  
   8.29  -0.702   -0.495   -0.148    0.006   -1.70  
   8.31  -0.704   -0.509   -0.163   -0.002   -1.80  
   8.33  -0.707   -0.522   -0.178   -0.009   -1.90  
   8.34  -0.709   -0.534   -0.194   -0.018   -2.00  
   8.35  -0.711   -0.545   -0.209   -0.026   -2.10  
   8.37  -0.713   -0.555   -0.225   -0.036   -2.20  
   8.38  -0.715   -0.564   -0.240   -0.046   -2.30  
   8.39  -0.717   -0.573   -0.255   -0.056   -2.40  
   8.40  -0.718   -0.580   -0.269   -0.067   -2.50  
   8.41  -0.719   -0.588   -0.284   -0.078   -2.60  
   8.41  -0.721   -0.595   -0.298   -0.089   -2.70  
   8.42  -0.722   -0.601   -0.312   -0.101   -2.80  
   8.43  -0.723   -0.606   -0.325   -0.113   -2.90  
   8.43  -0.724   -0.612   -0.338   -0.125   -3.00  
   8.44  -0.725   -0.616   -0.350   -0.137   -3.10  
   8.44  -0.725   -0.621   -0.362   -0.150   -3.20  
   8.45  -0.726   -0.625   -0.374   -0.162   -3.30  
   8.45  -0.727   -0.628   -0.385   -0.175   -3.40  
   8.46  -0.727   -0.632   -0.395   -0.186   -3.50  
   8.46  -0.728   -0.635   -0.404   -0.195   -3.60  
   8.46  -0.728   -0.638   -0.413   -0.204   -3.70  
   8.47  -0.729   -0.640   -0.421   -0.213   -3.80  
   8.47  -0.729   -0.643   -0.429   -0.222   -3.90  
   8.47  -0.730   -0.645   -0.437   -0.230   -4.00  
   8.48  -0.730   -0.647   -0.444   -0.239   -4.10  
   8.48  -0.730   -0.649   -0.451   -0.248   -4.20  
   8.48  -0.731   -0.650   -0.457   -0.257   -4.30  
   8.48  -0.731   -0.652   -0.464   -0.266   -4.40  
   8.48  -0.731   -0.653   -0.470   -0.274   -4.50  
   8.48  -0.731   -0.654   -0.476   -0.283   -4.60  
   8.49  -0.731   -0.656   -0.481   -0.291   -4.70  
   8.49  -0.732   -0.657   -0.486   -0.299   -4.80  
   8.49  -0.732   -0.658   -0.491   -0.308   -4.90  
   8.49  -0.732   -0.658   -0.496   -0.316   -5.00  
   8.49  -0.732   -0.659   -0.501   -0.323   -5.10  
   8.49  -0.732   -0.660   -0.505   -0.331   -5.20  
   8.49  -0.732   -0.661   -0.509   -0.339   -5.30  
   8.49  -0.732   -0.661   -0.513   -0.346   -5.40  
   8.49  -0.733   -0.662   -0.516   -0.353   -5.50  
   8.49  -0.733   -0.662   -0.521   -0.367   -5.60  
   8.49  -0.733   -0.663   -0.525   -0.380   -5.70  
   8.49  -0.733   -0.663   -0.529   -0.392   -5.80  
   8.50  -0.733   -0.664   -0.533   -0.403   -5.90  
   8.50  -0.733   -0.664   -0.537   -0.414   -6.00  
   7.80  -0.530   -0.046    0.114    0.089    0.10  
   7.85  -0.547   -0.078    0.104    0.088    0.00  
   7.90  -0.563   -0.110    0.094    0.087   -0.10  
   7.94  -0.577   -0.141    0.082    0.085   -0.20  
   7.99  -0.590   -0.172    0.070    0.082   -0.30  
   8.03  -0.602   -0.202    0.058    0.080   -0.40  
   8.07  -0.612   -0.231    0.045    0.077   -0.50  
   8.11  -0.621   -0.258    0.031    0.074   -0.60  
   8.14  -0.630   -0.285    0.018    0.070   -0.70  
   8.18  -0.637   -0.310    0.004    0.067   -0.80  
