## Mr-color sequences for He (DB and DC) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
   8.50  -0.733   -0.668   -0.577   -0.557  
   8.52  -0.729   -0.666   -0.574   -0.554  
   8.54  -0.724   -0.663   -0.572   -0.552  
   8.56  -0.720   -0.661   -0.570   -0.550  
   8.58  -0.716   -0.659   -0.568   -0.548  
   8.60  -0.711   -0.657   -0.566   -0.546  
   8.62  -0.707   -0.654   -0.563   -0.543  
   8.64  -0.702   -0.652   -0.561   -0.541  
   8.66  -0.698   -0.650   -0.559   -0.539  
   8.68  -0.693   -0.648   -0.557   -0.537  
   8.70  -0.689   -0.646   -0.554   -0.534  
   8.72  -0.684   -0.643   -0.552   -0.532  
   8.74  -0.680   -0.641   -0.550   -0.530  
   8.76  -0.676   -0.639   -0.548   -0.528  
   8.78  -0.671   -0.637   -0.546   -0.526  
   8.80  -0.667   -0.634   -0.543   -0.523  
   8.82  -0.662   -0.632   -0.541   -0.521  
   8.84  -0.658   -0.630   -0.539   -0.519  
   8.86  -0.653   -0.628   -0.537   -0.517  
   8.88  -0.649   -0.626   -0.534   -0.514  
   8.90  -0.644   -0.623   -0.532   -0.512  
   8.92  -0.640   -0.621   -0.530   -0.510  
   8.94  -0.636   -0.619   -0.528   -0.508  
   8.96  -0.631   -0.617   -0.526   -0.506  
   8.98  -0.627   -0.614   -0.523   -0.503  
   9.00  -0.622   -0.612   -0.521   -0.501  
   9.02  -0.618   -0.610   -0.519   -0.499  
   9.04  -0.613   -0.608   -0.517   -0.497  
   9.06  -0.609   -0.606   -0.514   -0.494  
   9.08  -0.604   -0.603   -0.512   -0.492  
   9.10  -0.600   -0.601   -0.510   -0.490  
   9.12  -0.596   -0.599   -0.508   -0.488  
   9.14  -0.591   -0.597   -0.506   -0.486  
   9.16  -0.587   -0.594   -0.503   -0.483  
   9.18  -0.582   -0.592   -0.501   -0.481  
   9.20  -0.578   -0.590   -0.499   -0.479  
   9.22  -0.573   -0.588   -0.497   -0.477  
   9.24  -0.569   -0.586   -0.494   -0.474  
   9.26  -0.564   -0.583   -0.492   -0.472  
   9.28  -0.560   -0.581   -0.490   -0.470  
   9.30  -0.556   -0.579   -0.488   -0.468  
   9.32  -0.551   -0.577   -0.486   -0.466  
   9.34  -0.547   -0.574   -0.483   -0.463  
   9.36  -0.542   -0.572   -0.481   -0.461  
   9.38  -0.538   -0.570   -0.479   -0.459  
