## Mr-color sequences for H (DA) white dwarfs. 
## Based on Bergeron et al. (1995) models, adjusted to fit SDSS data. 
## For details, see Palaversa et al. (2024). 
    Mr     ug       gr       ri       iz 
   8.50  -0.650   -0.610   -0.400   -0.557  
   8.52  -0.650   -0.610   -0.400   -0.554  
   8.54  -0.650   -0.610   -0.400   -0.552  
   8.56  -0.650   -0.610   -0.400   -0.550  
   8.58  -0.650   -0.610   -0.400   -0.548  
   8.60  -0.649   -0.610   -0.400   -0.546  
   8.62  -0.647   -0.610   -0.400   -0.543  
   8.64  -0.645   -0.610   -0.400   -0.541  
   8.66  -0.643   -0.610   -0.400   -0.539  
   8.68  -0.641   -0.610   -0.400   -0.537  
   8.70  -0.639   -0.609   -0.400   -0.534  
   8.72  -0.637   -0.607   -0.400   -0.532  
   8.74  -0.635   -0.605   -0.400   -0.530  
   8.76  -0.634   -0.603   -0.400   -0.528  
   8.78  -0.632   -0.601   -0.400   -0.526  
   8.80  -0.630   -0.600   -0.400   -0.523  
   8.82  -0.627   -0.600   -0.400   -0.521  
   8.84  -0.624   -0.600   -0.400   -0.519  
   8.86  -0.621   -0.600   -0.400   -0.517  
   8.88  -0.618   -0.600   -0.400   -0.514  
   8.90  -0.615   -0.600   -0.400   -0.512  
   8.92  -0.612   -0.598   -0.400   -0.510  
   8.94  -0.609   -0.597   -0.400   -0.508  
   8.96  -0.608   -0.595   -0.400   -0.506  
   8.98  -0.606   -0.594   -0.400   -0.503  
   9.00  -0.605   -0.592   -0.400   -0.501  
   9.02  -0.604   -0.591   -0.400   -0.499  
   9.04  -0.602   -0.590   -0.399   -0.497  
   9.06  -0.601   -0.590   -0.398   -0.494  
   9.08  -0.598   -0.590   -0.396   -0.492  
   9.10  -0.595   -0.590   -0.395   -0.490  
   9.12  -0.591   -0.590   -0.394   -0.488  
   9.14  -0.588   -0.590   -0.392   -0.486  
   9.16  -0.584   -0.590   -0.391   -0.483  
   9.18  -0.581   -0.589   -0.390   -0.481  
   9.20  -0.577   -0.588   -0.390   -0.479  
   9.22  -0.574   -0.587   -0.390   -0.477  
   9.24  -0.570   -0.586   -0.390   -0.474  
   9.26  -0.566   -0.585   -0.390   -0.472  
   9.28  -0.562   -0.584   -0.390   -0.470  
   9.30  -0.559   -0.582   -0.390   -0.468  
   9.32  -0.555   -0.581   -0.390   -0.466  
   9.34  -0.551   -0.580   -0.390   -0.463  
   9.36  -0.547   -0.578   -0.389   -0.461  
   9.38  -0.543   -0.576   -0.388   -0.459  
   9.40  -0.540   -0.574   -0.387   -0.457  
   9.42  -0.536   -0.572   -0.386   -0.454  
   9.44  -0.532   -0.570   -0.385   -0.452  
   9.46  -0.528   -0.569   -0.384   -0.450  
   9.48  -0.523   -0.567   -0.383   -0.448  
   9.50  -0.519   -0.565   -0.382   -0.446  
   9.52  -0.514   -0.563   -0.381   -0.443  
   9.54  -0.510   -0.561   -0.380   -0.441  
   9.56  -0.506   -0.559   -0.380   -0.439  
   9.58  -0.501   -0.558   -0.379   -0.437  
   9.60  -0.497   -0.557   -0.379   -0.434  
   9.62  -0.492   -0.556   -0.378   -0.432  
   9.64  -0.488   -0.555   -0.378   -0.430  
   9.66  -0.483   -0.554   -0.377   -0.428  
   9.68  -0.479   -0.553   -0.376   -0.426  
   9.70  -0.474   -0.552   -0.376   -0.423  
   9.72  -0.470   -0.551   -0.375   -0.421  
   9.74  -0.466   -0.549   -0.375   -0.419  
   9.76  -0.461   -0.548   -0.374   -0.417  
   9.78  -0.457   -0.547   -0.374   -0.414  
   9.80  -0.452   -0.546   -0.373   -0.412  
   9.82  -0.447   -0.545   -0.373   -0.410  
   9.84  -0.440   -0.544   -0.372   -0.408  
   9.86  -0.434   -0.543   -0.371   -0.406  
   9.88  -0.427   -0.542   -0.371   -0.403  
   9.90  -0.421   -0.541   -0.370   -0.401  
   9.92  -0.414   -0.539   -0.370   -0.399  
   9.94  -0.408   -0.537   -0.369   -0.397  
   9.96  -0.401   -0.535   -0.368   -0.394  
   9.98  -0.395   -0.533   -0.367   -0.392  
  10.00  -0.388   -0.531   -0.366   -0.390  
  10.02  -0.382   -0.529   -0.365   -0.388  
  10.04  -0.375   -0.527   -0.364   -0.386  
  10.06  -0.369   -0.525   -0.363   -0.383  
  10.08  -0.362   -0.523   -0.362   -0.381  
  10.10  -0.356   -0.521   -0.361   -0.379  
  10.12  -0.349   -0.519   -0.360   -0.377  
  10.14  -0.343   -0.517   -0.359   -0.374  
  10.16  -0.336   -0.515   -0.358   -0.372  
  10.18  -0.330   -0.513   -0.357   -0.370  
  10.20  -0.323   -0.511   -0.356   -0.368  
  10.22  -0.316   -0.509   -0.355   -0.366  
  10.24  -0.307   -0.507   -0.354   -0.363  
  10.26  -0.299   -0.505   -0.353   -0.361  
  10.28  -0.291   -0.503   -0.352   -0.359  
  10.30  -0.282   -0.501   -0.351   -0.357  
  10.32  -0.274   -0.499   -0.350   -0.354  
  10.34  -0.266   -0.496   -0.349   -0.352  
  10.36  -0.257   -0.493   -0.348   -0.350  
  10.38  -0.249   -0.490   -0.347   -0.348  
  10.40  -0.240   -0.487   -0.346   -0.346  
  10.42  -0.232   -0.485   -0.345   -0.343  
  10.44  -0.224   -0.482   -0.344   -0.341  
  10.46  -0.215   -0.479   -0.343   -0.339  
  10.48  -0.207   -0.476   -0.342   -0.337  
  10.50  -0.199   -0.473   -0.341   -0.334  
  10.52  -0.190   -0.471   -0.340   -0.332  
  10.54  -0.182   -0.468   -0.339   -0.330  
  10.56  -0.173   -0.465   -0.338   -0.328  
  10.58  -0.165   -0.462   -0.337   -0.326  
  10.60  -0.157   -0.460   -0.337   -0.323  
  10.62  -0.148   -0.457   -0.336   -0.321  
  10.64  -0.140   -0.454   -0.335   -0.319  
  10.66  -0.130   -0.451   -0.334   -0.317  
  10.68  -0.119   -0.448   -0.333   -0.314  
  10.70  -0.109   -0.446   -0.332   -0.312  
  10.72  -0.099   -0.443   -0.331   -0.310  
  10.74  -0.088   -0.440   -0.330   -0.308  
  10.76  -0.078   -0.437   -0.328   -0.306  
  10.78  -0.068   -0.434   -0.326   -0.303  
  10.80  -0.057   -0.432   -0.324   -0.301  
  10.82  -0.047   -0.429   -0.322   -0.300  
  10.84  -0.037   -0.426   -0.320   -0.300  
  10.86  -0.026   -0.423   -0.318   -0.300  
  10.88  -0.016   -0.421   -0.316   -0.300  
  10.90  -0.006   -0.418   -0.313   -0.300  
  10.92   0.005   -0.415   -0.311   -0.300  
  10.94   0.015   -0.412   -0.309   -0.300  
  10.96   0.025   -0.410   -0.307   -0.298  
  10.98   0.035   -0.407   -0.305   -0.297  
  11.00   0.046   -0.404   -0.303   -0.295  
  11.02   0.058   -0.401   -0.301   -0.293  
  11.04   0.070   -0.398   -0.300   -0.292  
  11.06   0.080   -0.395   -0.300   -0.290  
  11.08   0.090   -0.392   -0.300   -0.289  
  11.10   0.100   -0.388   -0.300   -0.288  
  11.12   0.112   -0.384   -0.300   -0.287  
  11.14   0.124   -0.380   -0.300   -0.286  
  11.16   0.135   -0.377   -0.297   -0.285  
  11.18   0.145   -0.373   -0.293   -0.284  
  11.20   0.155   -0.370   -0.290   -0.283  
  11.22   0.166   -0.366   -0.290   -0.282  
  11.24   0.177   -0.362   -0.290   -0.281  
  11.26   0.189   -0.357   -0.288   -0.280  
  11.28   0.200   -0.350   -0.285   -0.280  
  11.30   0.210   -0.343   -0.282   -0.280  
  11.32   0.220   -0.339   -0.279   -0.280  
  11.34   0.230   -0.336   -0.276   -0.280  
  11.36   0.239   -0.333   -0.273   -0.280  
  11.38   0.247   -0.330   -0.270   -0.279  
  11.40   0.256   -0.323   -0.270   -0.277  
  11.42   0.264   -0.317   -0.270   -0.276  
  11.44   0.271   -0.310   -0.270   -0.274  
  11.46   0.279   -0.307   -0.267   -0.273  
  11.48   0.286   -0.304   -0.264   -0.271  
  11.50   0.291   -0.301   -0.261   -0.270  
  11.52   0.299   -0.298   -0.259   -0.268  
  11.54   0.312   -0.293   -0.256   -0.267  
  11.56   0.325   -0.288   -0.254   -0.265  
  11.58   0.338   -0.283   -0.251   -0.264  
  11.60   0.355   -0.276   -0.247   -0.262  
  11.62   0.376   -0.267   -0.241   -0.261  
  11.64   0.393   -0.259   -0.236   -0.259  
  11.66   0.410   -0.250   -0.230   -0.258  
  11.68   0.410   -0.243   -0.227   -0.257  
  11.70   0.410   -0.237   -0.223   -0.255  
  11.72   0.410   -0.230   -0.220   -0.254  
  11.74   0.410   -0.226   -0.218   -0.253  
  11.76   0.410   -0.221   -0.216   -0.251  
  11.78   0.410   -0.217   -0.213   -0.250  
  11.80   0.410   -0.212   -0.211   -0.249  
  11.82   0.410   -0.208   -0.208   -0.247  
  11.84   0.409   -0.203   -0.203   -0.246  
  11.86   0.408   -0.198   -0.198   -0.245  
  11.88   0.406   -0.193   -0.193   -0.243  
  11.90   0.405   -0.188   -0.188   -0.242  
  11.92   0.404   -0.183   -0.183   -0.241  
  11.94   0.402   -0.178   -0.179   -0.239  
  11.96   0.401   -0.174   -0.176   -0.237  
  11.98   0.399   -0.169   -0.173   -0.234  
  12.00   0.396   -0.165   -0.170   -0.232  
  12.02   0.394   -0.161   -0.167   -0.230  
  12.04   0.392   -0.156   -0.164   -0.228  
  12.06   0.389   -0.152   -0.161   -0.226  
  12.08   0.387   -0.148   -0.158   -0.223  
  12.10   0.385   -0.143   -0.155   -0.221  
  12.12   0.382   -0.138   -0.151   -0.219  
  12.14   0.380   -0.134   -0.148   -0.218  
  12.16   0.378   -0.129   -0.144   -0.217  
  12.18   0.376   -0.124   -0.141   -0.216  
  12.20   0.374   -0.119   -0.137   -0.215  
  12.22   0.372   -0.115   -0.134   -0.214  
  12.24   0.369   -0.110   -0.130   -0.213  
  12.26   0.367   -0.106   -0.128   -0.212  
  12.28   0.365   -0.102   -0.126   -0.211  
  12.30   0.363   -0.097   -0.124   -0.210  
  12.32   0.361   -0.093   -0.122   -0.208  
  12.34   0.360   -0.089   -0.119   -0.205  
  12.36   0.359   -0.085   -0.117   -0.203  
  12.38   0.358   -0.081   -0.115   -0.200  
  12.40   0.357   -0.076   -0.113   -0.198  
  12.42   0.356   -0.072   -0.111   -0.196  
  12.44   0.355   -0.068   -0.109   -0.193  
  12.46   0.354   -0.063   -0.106   -0.191  
  12.48   0.353   -0.058   -0.103   -0.188  
  12.50   0.352   -0.053   -0.100   -0.186  
  12.52   0.351   -0.049   -0.097   -0.184  
  12.54   0.350   -0.044   -0.094   -0.181  
  12.56   0.351   -0.039   -0.091   -0.179  
  12.58   0.352   -0.034   -0.089   -0.178  
  12.60   0.353   -0.030   -0.086   -0.176  
  12.62   0.354   -0.025   -0.083   -0.175  
  12.64   0.355   -0.020   -0.080   -0.173  
  12.66   0.355   -0.015   -0.077   -0.172  
  12.68   0.356   -0.011   -0.075   -0.170  
  12.70   0.357   -0.006   -0.072   -0.169  
  12.72   0.358   -0.002   -0.069   -0.167  
  12.74   0.359    0.003   -0.066   -0.166  
  12.76   0.360    0.007   -0.064   -0.165  
  12.78   0.362    0.012   -0.061   -0.163  
