# File generated by CMD 3.7 (http://stev.oapd.inaf.it/cmd) on Thu Nov 16 20:07:54 CET 2023
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods are from Trabucchi et al. (2021)
# Photometric system: SDSS <i>ugriz</i> + 2MASS <i>JHK</i><sub>s</sub>
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag    Jmag    Hmag    Ksmag
4.9184e-05 -2.19174 10.00000 0.1000000015 1.1711064122    0.100 -2.782  3.5584  5.406    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -1.3e-16      0.00 7.463e-01 2.536e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.726 16.767 13.774 12.160 11.537 11.163 9.910 9.630 9.532
4.9184e-05 -2.19174 10.00000 0.1098214313 1.2482754908    0.109 -2.634  3.5738  5.357    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.85e-16      0.00 7.448e-01 2.551e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 11.354 15.863 13.183 11.724 11.165 10.832 9.597 9.244 9.127
4.9184e-05 -2.19174 10.00000 0.1294642836 1.3786745408    0.129 -2.393  3.5963  5.278    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -3.25e-16      0.00 7.422e-01 2.577e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 10.752 14.578 12.286 11.049 10.561 10.273 9.076 8.642 8.508
4.9184e-05 -2.19174 10.00000 0.1491071582 1.4855959672    0.149 -2.231  3.6076  5.224    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.67e-16      0.00 7.405e-01 2.594e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.996e-05 10.348 13.892 11.756 10.612 10.154 9.886 8.711 8.252 8.109
4.9184e-05 -2.19174 10.00000 0.1687500030 1.5756139920    0.168 -2.106  3.6150  5.181    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -6.17e-16      0.00 7.397e-01 2.602e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.999e-05 10.034 13.410 11.366 10.277 9.837 9.581 8.421 7.952 7.803
4.9184e-05 -2.19174 10.00000 0.2080357224 1.7204495903    0.207 -1.902  3.6260  5.112    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -9.62e-16      0.00 7.392e-01 2.607e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 1.000e-04 9.524 12.662 10.749 9.733 9.320 9.082 7.945 7.469 7.313
4.9184e-05 -2.19174 10.00000 0.2571428716 1.8581268277    0.257 -1.712  3.6360  5.055    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.43e-15      0.00 7.393e-01 2.606e-01 1.798e-05 4.852e-06 4.400e-05 -1.000 1.001e-04 9.049 11.984 10.183 9.228 8.838 8.616 7.500 7.027 6.868
4.9184e-05 -2.19174 10.00000 0.3062500358 1.9652636675    0.306 -1.565  3.6444  5.018    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -1.92e-15      0.00 7.394e-01 2.605e-01 1.797e-05 4.852e-06 4.400e-05 -1.000 1.000e-04 8.682 11.457 9.745 8.837 8.465 8.256 7.158 6.691 6.533
4.9184e-05 -2.19174 10.00000 0.3553571403 2.0521113302    0.355 -1.442  3.6522  4.991    1  0.000  0.544     0.00     0.00     0.00     0.00     0.00 -1 -2.44e-15      0.00 7.404e-01 2.595e-01 1.796e-05 4.853e-06 4.400e-05 -1.000 1.000e-04 8.375 11.007 9.375 8.507 8.152 7.956 6.874 6.415 6.260
4.9184e-05 -2.19174 10.00000 0.4044643044 2.1246090444    0.404 -1.324  3.6604  4.962    1  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1  -3.1e-15      0.00 7.502e-01 2.497e-01 1.798e-05 4.851e-06 4.400e-05 -1.000 9.993e-05 8.079 10.564 9.016 8.189 7.852 7.668 6.603 6.154 6.004
