      glon       glat        FeHEst FeHUnc  MrEst  MrUnc  ArEst  ArUnc  chi2min    MrdS     FeHdS      ArdS 
  0.94839984 -45.11469269   -0.28   0.17   11.17   0.16    0.09   0.02   1.33     -32.4     -13.9    -173.1         0
  0.21957318 -44.95205688   -0.34   0.19   13.02   0.11    0.08   0.04   3.33     -38.2     -13.5     -81.1         1
  0.98102474 -44.58529663   -0.41   0.20    7.89   0.12    0.10   0.05   0.10     -36.7       0.8     -48.2         2
  1.31852520 -44.65126038   -0.25   0.14   10.54   0.14    0.11   0.02   0.13     -33.2     -14.7    -185.5         3
  0.73001397 -44.90909576   -0.22   0.11    9.71   0.11    0.07   0.02   0.91     -34.5     -10.7    -195.4         4
  0.44588619 -44.82279587   -0.37   0.13    4.57   0.31    0.13   0.06   0.31     -20.2      -5.6     -15.9         5
  0.33840460 -45.28069305   -0.50   0.19   13.90   0.04    0.11   0.02   0.72     -51.4     -11.4    -143.1         6
  1.15747750 -45.07667542   -0.56   0.21    9.92   0.18    0.13   0.02   0.99     -26.8      -2.2    -192.3         7
  0.49625894 -45.36286163   -0.39   0.20   13.85   0.10    0.14   0.06   2.36     -40.1     -13.6     -19.3         8
  0.41511366 -45.07460022   -0.19   0.11   10.99   0.11    0.12   0.01   0.50     -36.4     -16.0    -216.6         9
  0.83199042 -44.83053970   -0.25   0.17   13.10   0.09    0.06   0.02   1.07     -40.1     -16.1    -127.8        10
  1.22025681 -44.54659271   -0.27   0.17   12.74   0.13    0.18   0.04   0.86     -36.0     -16.2     -69.4        11
  0.33334348 -45.07942581   -0.24   0.14   10.74   0.14    0.11   0.02   0.27     -34.1     -15.2    -184.1        12
  1.20672393 -44.44256210   -0.21   0.11    8.50   0.11    0.09   0.02   1.45     -35.3     -11.5    -199.6        13
  0.46788552 -45.28744507   -0.20   0.12   12.49   0.11    0.03   0.02   2.11     -37.9     -21.0    -165.8        14
  0.75210339 -44.96447372   -0.15   0.08    9.71   0.09    0.13   0.02   3.95     -37.5     -17.3    -170.8        15
  0.73914576 -45.29656982   -0.12   0.04    9.63   0.05    0.12   0.01   6.86     -46.7     -22.2    -232.5        16
  1.11060381 -44.51482773   -0.90   0.50   13.98   0.10    0.22   0.04  12.86     -37.6      -3.2    -103.1        17
  1.24622428 -44.57516479   -0.23   0.16   12.43   0.18    0.14   0.07   0.15     -30.4     -19.6      -4.0        18
  1.25877166 -44.45759201   -0.32   0.17   12.38   0.16    0.12   0.04   2.82     -33.0     -14.7     -58.3        19
  1.14070690 -44.84905243   -0.29   0.22   13.20   0.19    0.18   0.07   0.77     -27.7     -16.5     -29.5        20
  0.43249816 -45.45922470   -0.20   0.12   11.56   0.13    0.08   0.03   2.93     -35.5     -19.5    -122.3        21
  0.78248399 -45.12368011   -0.15   0.07    9.94   0.07    0.07   0.01   1.32     -41.8     -16.8    -215.7        22
  0.62912560 -44.98639297   -0.23   0.14   10.14   0.14    0.11   0.02   0.31     -34.4     -15.4    -210.0        23
  0.94256288 -44.82777405   -0.22   0.13   10.63   0.13    0.13   0.02   0.86     -34.4     -15.3    -190.5        24
  0.62013143 -44.94429779   -0.17   0.09   12.12   0.10    0.12   0.02   2.24     -37.4     -22.1    -131.2        25
  0.06112623 -45.42719269   -0.15   0.07    8.45   0.07    0.07   0.01   5.67     -44.2     -14.9    -220.2        26
  0.66999036 -45.30439758   -0.13   0.05    6.55   0.09    0.08   0.05   0.26     -41.9     -19.0     -88.2        27
  0.99918556 -44.55619812   -0.41   0.18   14.32   0.06    0.19   0.02  15.77     -48.6     -14.6    -161.7        28
